
   time:  355.468 dt:   0.08889 mass:   2.306
      X         N         T         U         P        Q         JM
   0.0250   2.69716   0.93011   0.48767   2.50867   0.08086   1.31533
   0.0750   2.50415   0.90561   0.54103   2.26778   0.05090   1.35481
   0.1250   2.40249   0.89269   0.57121   2.14467   0.03088   1.37232
   0.1750   2.34452   0.88517   0.58902   2.07531   0.01886   1.38098
   0.2250   2.30980   0.88059   0.59989   2.03398   0.01167   1.38562
   0.2750   2.28833   0.87771   0.60667   2.00849   0.00727   1.38827
   0.3250   2.27478   0.87588   0.61098   1.99243   0.00455   1.38985
   0.3750   2.26610   0.87470   0.61375   1.98216   0.00280   1.39082
   0.4250   2.26048   0.87394   0.61555   1.97553   0.00165   1.39144
   0.4750   2.25681   0.87345   0.61673   1.97121   0.00089   1.39184
   0.5250   2.25440   0.87314   0.61750   1.96840   0.00037   1.39210
   0.5750   2.25282   0.87293   0.61801   1.96655   0.00003   1.39227
   0.6250   2.25177   0.87280   0.61835   1.96534   0.00022   1.39238
   0.6750   2.25107   0.87271   0.61857   1.96454   0.00037   1.39246
   0.7250   2.25062   0.87266   0.61872   1.96401   0.00049   1.39250
   0.7750   2.25030   0.87262   0.61882   1.96366   0.00057   1.39254
   0.8250   2.25010   0.87260   0.61889   1.96343   0.00062   1.39256
   0.8750   2.24997   0.87258   0.61893   1.96328   0.00065   1.39258
   0.9250   2.24988   0.87257   0.61896   1.96318   0.00067   1.39258
   0.9750   2.24983   0.87256   0.61898   1.96310   0.00068   1.39259
