
   time: 1066.460 dt:   0.08889 mass:   2.448
      X         N         T         U         P        Q         JM
  49.0250   2.48795   0.92561   0.49285   2.30288   0.00161   1.22618
  49.0750   2.48840   0.92575   0.49270   2.30363   0.00157   1.22604
  49.1250   2.48849   0.92587   0.49265   2.30401   0.00165   1.22596
  49.1750   2.48836   0.92599   0.49266   2.30420   0.00184   1.22592
  49.2250   2.48805   0.92613   0.49271   2.30426   0.00212   1.22588
  49.2750   2.48754   0.92632   0.49280   2.30425   0.00254   1.22586
  49.3250   2.48681   0.92656   0.49294   2.30417   0.00313   1.22585
  49.3750   2.48578   0.92688   0.49314   2.30402   0.00396   1.22585
  49.4250   2.48435   0.92732   0.49343   2.30378   0.00513   1.22586
  49.4750   2.48235   0.92793   0.49384   2.30344   0.00677   1.22589
  49.5250   2.47954   0.92877   0.49442   2.30293   0.00909   1.22594
  49.5750   2.47566   0.92994   0.49523   2.30222   0.01233   1.22602
  49.6250   2.47018   0.93159   0.49638   2.30120   0.01691   1.22614
  49.6750   2.46247   0.93390   0.49799   2.29971   0.02340   1.22629
  49.7250   2.45152   0.93718   0.50029   2.29752   0.03263   1.22647
  49.7750   2.43575   0.94185   0.50358   2.29411   0.04587   1.22659
  49.8250   2.41254   0.94855   0.50836   2.28841   0.06516   1.22643
  49.8750   2.37700   0.95825   0.51549   2.27776   0.09393   1.22532
  49.9250   2.31918   0.97236   0.52667   2.25508   0.13863   1.22144
  49.9750   2.21731   0.99240   0.54587   2.20046   0.21289   1.21035
