
   time: 1066.460 dt:   0.08889 mass:   2.329
      X         N         T         U         P        Q         JM
   0.0250   2.71047   0.93210   0.48211   2.52642   0.07855   1.30675
   0.0750   2.52051   0.90821   0.53394   2.28916   0.04890   1.34581
   0.1250   2.42115   0.89575   0.56297   2.16873   0.02929   1.36304
   0.1750   2.36494   0.88857   0.57993   2.10142   0.01764   1.37150
   0.2250   2.33156   0.88423   0.59016   2.06164   0.01074   1.37601
   0.2750   2.31113   0.88153   0.59649   2.03734   0.00659   1.37855
   0.3250   2.29834   0.87984   0.60046   2.02217   0.00404   1.38006
   0.3750   2.29024   0.87876   0.60299   2.01256   0.00242   1.38098
   0.4250   2.28504   0.87807   0.60461   2.00642   0.00137   1.38156
   0.4750   2.28169   0.87763   0.60566   2.00247   0.00068   1.38193
   0.5250   2.27950   0.87735   0.60634   1.99992   0.00022   1.38216
   0.5750   2.27808   0.87718   0.60679   1.99827   0.00010   1.38231
   0.6250   2.27715   0.87706   0.60708   1.99720   0.00031   1.38240
   0.6750   2.27653   0.87699   0.60727   1.99651   0.00047   1.38246
   0.7250   2.27614   0.87695   0.60739   1.99606   0.00056   1.38250
   0.7750   2.27587   0.87692   0.60747   1.99576   0.00064   1.38252
   0.8250   2.27570   0.87691   0.60752   1.99558   0.00069   1.38253
   0.8750   2.27558   0.87690   0.60756   1.99546   0.00073   1.38254
   0.9250   2.27550   0.87690   0.60758   1.99539   0.00077   1.38254
   0.9750   2.27542   0.87691   0.60760   1.99535   0.00081   1.38254
