
   time:  710.991 dt:   0.08889 mass:   2.326
      X         N         T         U         P        Q         JM
   0.0250   2.70855   0.93181   0.48291   2.52386   0.07888   1.30799
   0.0750   2.51816   0.90784   0.53496   2.28608   0.04919   1.34711
   0.1250   2.41847   0.89531   0.56415   2.16527   0.02952   1.36438
   0.1750   2.36201   0.88809   0.58123   2.09767   0.01781   1.37287
   0.2250   2.32844   0.88372   0.59155   2.05768   0.01086   1.37739
   0.2750   2.30785   0.88099   0.59794   2.03321   0.00668   1.37995
   0.3250   2.29497   0.87928   0.60195   2.01791   0.00411   1.38146
   0.3750   2.28678   0.87819   0.60451   2.00822   0.00247   1.38240
   0.4250   2.28153   0.87749   0.60616   2.00201   0.00140   1.38298
   0.4750   2.27813   0.87704   0.60723   1.99802   0.00070   1.38334
   0.5250   2.27592   0.87676   0.60792   1.99543   0.00023   1.38358
   0.5750   2.27447   0.87658   0.60837   1.99376   0.00008   1.38372
   0.6250   2.27353   0.87646   0.60867   1.99267   0.00030   1.38382
   0.6750   2.27291   0.87640   0.60886   1.99197   0.00045   1.38388
   0.7250   2.27250   0.87635   0.60899   1.99151   0.00056   1.38392
   0.7750   2.27223   0.87632   0.60907   1.99121   0.00063   1.38394
   0.8250   2.27205   0.87631   0.60912   1.99102   0.00068   1.38396
   0.8750   2.27193   0.87630   0.60916   1.99090   0.00073   1.38396
   0.9250   2.27183   0.87631   0.60918   1.99082   0.00078   1.38396
   0.9750   2.27176   0.87631   0.60920   1.99077   0.00082   1.38396
