      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 1.02500E+00   1.99379E+20   6.72052E+10   2.78363E+01   4.33784E-05   3.37073E-10
 1.07500E+00   3.14440E+20   9.99282E+10   4.39212E+01   6.84603E-05   3.17798E-10
 1.12500E+00   4.27907E+20   1.17540E+11   5.98031E+01   9.32410E-05   2.74685E-10
 1.17500E+00   5.39831E+20   1.55055E+11   7.54882E+01   1.17730E-04   2.87228E-10
 1.22500E+00   6.50258E+20   1.96049E+11   9.09819E+01   1.41934E-04   3.01495E-10
 1.27500E+00   7.59226E+20   2.37301E+11   1.06289E+02   1.65861E-04   3.12556E-10
 1.32500E+00   8.66773E+20   2.78184E+11   1.21414E+02   1.89517E-04   3.20943E-10
 1.37500E+00   9.72934E+20   3.18587E+11   1.36361E+02   2.12908E-04   3.27450E-10
 1.42500E+00   1.07774E+21   3.58497E+11   1.51134E+02   2.36040E-04   3.32637E-10
 1.47500E+00   1.18123E+21   3.97919E+11   1.65738E+02   2.58918E-04   3.36870E-10
 1.52500E+00   1.28342E+21   4.36864E+11   1.80174E+02   2.81548E-04   3.40391E-10
 1.57500E+00   1.38435E+21   4.75342E+11   1.94448E+02   3.03935E-04   3.43370E-10
 1.62500E+00   1.48404E+21   5.13365E+11   2.08562E+02   3.26084E-04   3.45924E-10
 1.67500E+00   1.58252E+21   5.50942E+11   2.22520E+02   3.47999E-04   3.48142E-10
 1.72500E+00   1.67982E+21   5.88084E+11   2.36324E+02   3.69685E-04   3.50088E-10
 1.77500E+00   1.77596E+21   6.24799E+11   2.49979E+02   3.91146E-04   3.51809E-10
 1.82500E+00   1.87096E+21   6.61094E+11   2.63486E+02   4.12387E-04   3.53344E-10
 1.87500E+00   1.96486E+21   6.96978E+11   2.76849E+02   4.33412E-04   3.54722E-10
 1.92500E+00   2.05766E+21   7.32459E+11   2.90070E+02   4.54224E-04   3.55967E-10
 1.97500E+00   2.14940E+21   7.67546E+11   3.03152E+02   4.74828E-04   3.57099E-10
 2.02500E+00   2.24008E+21   8.02247E+11   3.16098E+02   4.95227E-04   3.58133E-10
 2.07500E+00   2.32975E+21   8.36569E+11   3.28910E+02   5.15426E-04   3.59081E-10
 2.12500E+00   2.41841E+21   8.70519E+11   3.41591E+02   5.35427E-04   3.59956E-10
 2.17500E+00   2.50608E+21   9.04103E+11   3.54142E+02   5.55234E-04   3.60764E-10
 2.22500E+00   2.59278E+21   9.37330E+11   3.66568E+02   5.74851E-04   3.61515E-10
 2.27500E+00   2.67853E+21   9.70203E+11   3.78868E+02   5.94280E-04   3.62214E-10
 2.32500E+00   2.76335E+21   1.00273E+12   3.91046E+02   6.13526E-04   3.62867E-10
 2.37500E+00   2.84726E+21   1.03492E+12   4.03105E+02   6.32591E-04   3.63478E-10
 2.42500E+00   2.93028E+21   1.06677E+12   4.15046E+02   6.51478E-04   3.64052E-10
 2.47500E+00   3.01241E+21   1.09830E+12   4.26871E+02   6.70192E-04   3.64592E-10
 2.52500E+00   3.09368E+21   1.12951E+12   4.38583E+02   6.88734E-04   3.65103E-10
 2.57500E+00   3.17411E+21   1.16041E+12   4.50184E+02   7.07109E-04   3.65587E-10
 2.62500E+00   3.25371E+21   1.19101E+12   4.61675E+02   7.25317E-04   3.66046E-10
 2.67500E+00   3.33249E+21   1.22130E+12   4.73057E+02   7.43362E-04   3.66483E-10
 2.72500E+00   3.41046E+21   1.25129E+12   4.84334E+02   7.61247E-04   3.66899E-10
 2.77500E+00   3.48765E+21   1.28100E+12   4.95505E+02   7.78973E-04   3.67295E-10
 2.82500E+00   3.56405E+21   1.31041E+12   5.06573E+02   7.96543E-04   3.67674E-10
 2.87500E+00   3.63969E+21   1.33953E+12   5.17540E+02   8.13958E-04   3.68036E-10
