     109   0.37500  -4.12500  -2.62500      7      1      3
     110   0.37500  -2.62500  -3.37500      7      3      2
     111   0.37500  -0.37500   3.37500      7      6     11
     112   0.37500   1.12500   2.62500      7      8     10
     113   0.37500   2.62500   1.12500      7     10      8
     114   0.37500  -3.37500   0.37500      7      2      7
     115   0.37500  -1.87500  -1.12500      7      4      5
     116   0.37500  -0.37500  -1.87500      7      6      4
     117   0.37500   1.87500  -3.37500      7      9      2
     118   1.12500   3.37500   4.12500      8     11     12
     119   1.12500  -3.37500   3.37500      8      2     11
     120   1.12500  -1.12500   1.87500      8      5      9
     121   1.12500   0.37500   0.37500      8      7      7
     122   1.12500   1.87500  -0.37500      8      9      6
     123   1.12500   4.12500  -1.87500      8     12      4
     124   1.12500  -2.62500  -2.62500      8      3      3
     125   1.12500  -1.12500  -4.12500      8      5      1
     126   1.12500   1.12500   3.37500      8      8     11
     127   1.12500   2.62500   2.62500      8     10     10
     128   1.12500  -4.12500   1.12500      8      1      8
     129   1.12500  -2.62500  -0.37500      8      3      6
     130   1.12500  -0.37500  -1.12500      8      6      5
     131   1.12500   1.12500  -2.62500      8      8      3
     132   1.12500   3.37500  -3.37500      8     11      2
     133   1.12500  -3.37500   4.12500      8      2     12
     134   1.12500  -1.87500   2.62500      8      4     10
     135   1.87500  -0.37500   1.87500      9      6      9
     136   1.87500   1.87500   0.37500      9      9      7
     137   1.87500   3.37500  -0.37500      9     11      6
     138   1.87500  -3.37500  -1.87500      9      2      4
     139   1.87500  -1.12500  -3.37500      9      5      2
     140   1.87500   0.37500  -4.12500      9      7      1
     141   1.87500   1.87500   3.37500      9      9     11
     142   1.87500   4.12500   1.87500      9     12      9
     143   1.87500  -2.62500   1.12500      9      3      8
     144   1.87500  -1.12500  -0.37500      9      5      6
     145   1.87500   1.12500  -1.12500      9      8      5
     146   1.87500   2.62500  -2.62500      9     10      3
     147   1.87500  -4.12500  -4.12500      9      1      1
     148   1.87500  -1.87500   3.37500      9      4     11
     149   1.87500  -0.37500   2.62500      9      6     10
     150   1.87500   1.12500   1.12500      9      8      8
     151   1.87500   3.37500   0.37500      9     11      7
     152   1.87500  -3.37500  -1.12500      9      2      5
     153   2.62500  -1.87500  -1.87500     10      4      4
     154   2.62500   0.37500  -3.37500     10      7      2
     155   2.62500   1.87500   4.12500     10      9     12
     156   2.62500   3.37500   2.62500     10     11     10
     157   2.62500  -3.37500   1.87500     10      2      9
     158   2.62500  -1.12500   0.37500     10      5      7
     159   2.62500   0.37500  -0.37500     10      7      6
     160   2.62500   2.62500  -1.87500     10     10      4
     161   2.62500   4.12500  -2.62500     10     12      3
     162   2.62500  -2.62500  -4.12500     10      3      1
     163   2.62500  -1.12500   3.37500     10      5     11
     164   2.62500   1.12500   1.87500     10      8      9
     165   2.62500   2.62500   1.12500     10     10      8
     166   2.62500  -4.12500  -0.37500     10      1      6
     167   2.62500  -1.87500  -1.12500     10      4      5
     168   2.62500  -0.37500  -2.62500     10      6      3
     169   2.62500   1.12500  -3.37500     10      8      2
     170   3.37500   3.37500   3.37500     11     11     11
     171   3.37500  -3.37500   2.62500     11      2     10
     172   3.37500  -1.87500   1.12500     11      4      8
     173   3.37500   0.37500   0.37500     11      7      7
     174   3.37500   1.87500  -1.12500     11      9      5
     175   3.37500   3.37500  -1.87500     11     11      4
     176   3.37500  -3.37500  -3.37500     11      2      2
     177   3.37500  -1.12500   4.12500     11      5     12
     178   3.37500   0.37500   2.62500     11      7     10
     179   3.37500   2.62500   1.87500     11     10      9
     180   3.37500   4.12500   0.37500     11     12      7
     181   3.37500  -2.62500  -0.37500     11      3      6
     182   3.37500  -0.37500  -1.87500     11      6      4
     183   3.37500   1.12500  -2.62500     11      8      3
     184   3.37500   2.62500  -4.12500     11     10      1
     185   3.37500  -4.12500   3.37500     11      1     11
     186   3.37500  -1.87500   1.87500     11      4      9
     187   3.37500  -0.37500   1.12500     11      6      8
     188   4.12500   1.87500  -0.37500     12      9      6
     189   4.12500   3.37500  -1.12500     12     11      5
     190   4.12500  -3.37500  -2.62500     12      2      3
     191   4.12500  -1.87500  -3.37500     12      4      2
     192   4.12500   0.37500   4.12500     12      7     12
     193   4.12500   1.87500   2.62500     12      9     10
     194   4.12500   4.12500   1.87500     12     12      9
     195   4.12500  -2.62500   0.37500     12      3      7
     196   4.12500  -1.12500  -1.12500     12      5      5
     197   4.12500   0.37500  -1.87500     12      7      4
     198   4.12500   2.62500  -3.37500     12     10      2
     199  -4.12500  -4.12500  -4.12500      1      1      1
     200  -4.12500   3.37500  -0.37500      1     11      6
     201  -4.12500   0.37500  -1.12500      1      7      5
     202  -4.12500   1.87500  -2.62500      1      9      3
     203  -4.12500   4.12500  -3.37500      1     12      2
     204  -4.12500  -3.37500   4.12500      1      2     12
     205  -4.12500  -1.12500   2.62500      1      5     10
     206  -3.37500   1.12500   1.87500      2      8      9
     207  -3.37500  -0.37500  -3.37500      2      6      2
     208  -3.37500  -4.12500   1.87500      2      1      9
     209  -3.37500  -3.37500  -4.12500      2      2      1
     210  -3.37500  -1.87500   4.12500      2      4     12
