      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 1.02500E+00   2.20241E+20   7.39471E+10   3.04311E+01   4.71762E-05   3.35755E-10
 1.07500E+00   3.47592E+20   1.10059E+11   4.80516E+01   7.45114E-05   3.16632E-10
 1.12500E+00   4.73064E+20   1.29494E+11   6.54355E+01   1.01498E-04   2.73735E-10
 1.17500E+00   5.96721E+20   1.70774E+11   8.25903E+01   1.28146E-04   2.86187E-10
 1.22500E+00   7.18621E+20   2.15835E+11   9.95231E+01   1.54466E-04   3.00346E-10
 1.27500E+00   8.38813E+20   2.61142E+11   1.16240E+02   1.80466E-04   3.11323E-10
 1.32500E+00   9.57342E+20   3.06011E+11   1.32745E+02   2.06154E-04   3.19646E-10
 1.37500E+00   1.07425E+21   3.50319E+11   1.49045E+02   2.31538E-04   3.26106E-10
 1.42500E+00   1.18957E+21   3.94052E+11   1.65143E+02   2.56623E-04   3.31255E-10
 1.47500E+00   1.30334E+21   4.37216E+11   1.81045E+02   2.81415E-04   3.35457E-10
 1.52500E+00   1.41561E+21   4.79825E+11   1.96754E+02   3.05922E-04   3.38953E-10
 1.57500E+00   1.52640E+21   5.21890E+11   2.12274E+02   3.30150E-04   3.41909E-10
 1.62500E+00   1.63575E+21   5.63424E+11   2.27611E+02   3.54105E-04   3.44443E-10
 1.67500E+00   1.74370E+21   6.04439E+11   2.42768E+02   3.77791E-04   3.46642E-10
 1.72500E+00   1.85027E+21   6.44947E+11   2.57749E+02   4.01216E-04   3.48569E-10
 1.77500E+00   1.95550E+21   6.84963E+11   2.72557E+02   4.24385E-04   3.50275E-10
 1.82500E+00   2.05942E+21   7.24497E+11   2.87198E+02   4.47303E-04   3.51796E-10
 1.87500E+00   2.16206E+21   7.63560E+11   3.01673E+02   4.69974E-04   3.53164E-10
 1.92500E+00   2.26344E+21   8.02163E+11   3.15986E+02   4.92404E-04   3.54400E-10
 1.97500E+00   2.36359E+21   8.40316E+11   3.30141E+02   5.14598E-04   3.55525E-10
 2.02500E+00   2.46254E+21   8.78028E+11   3.44141E+02   5.36560E-04   3.56554E-10
 2.07500E+00   2.56031E+21   9.15308E+11   3.57988E+02   5.58295E-04   3.57498E-10
 2.12500E+00   2.65693E+21   9.52163E+11   3.71687E+02   5.79806E-04   3.58369E-10
 2.17500E+00   2.75242E+21   9.88600E+11   3.85238E+02   6.01097E-04   3.59175E-10
 2.22500E+00   2.84679E+21   1.02463E+12   3.98646E+02   6.22174E-04   3.59923E-10
 2.27500E+00   2.94009E+21   1.06025E+12   4.11912E+02   6.43039E-04   3.60618E-10
 2.32500E+00   3.03232E+21   1.09548E+12   4.25041E+02   6.63697E-04   3.61268E-10
 2.37500E+00   3.12350E+21   1.13032E+12   4.38034E+02   6.84151E-04   3.61876E-10
 2.42500E+00   3.21367E+21   1.16479E+12   4.50893E+02   7.04406E-04   3.62448E-10
 2.47500E+00   3.30284E+21   1.19888E+12   4.63623E+02   7.24466E-04   3.62986E-10
 2.52500E+00   3.39102E+21   1.23262E+12   4.76224E+02   7.44332E-04   3.63495E-10
 2.57500E+00   3.47824E+21   1.26599E+12   4.88699E+02   7.64009E-04   3.63976E-10
 2.62500E+00   3.56451E+21   1.29902E+12   5.01050E+02   7.83499E-04   3.64432E-10
 2.67500E+00   3.64985E+21   1.33170E+12   5.13279E+02   8.02807E-04   3.64865E-10
 2.72500E+00   3.73429E+21   1.36405E+12   5.25389E+02   8.21934E-04   3.65278E-10
 2.77500E+00   3.81782E+21   1.39607E+12   5.37381E+02   8.40884E-04   3.65672E-10
 2.82500E+00   3.90048E+21   1.42777E+12   5.49258E+02   8.59660E-04   3.66049E-10
 2.87500E+00   3.98228E+21   1.45914E+12   5.61021E+02   8.78266E-04   3.66409E-10
 2.92500E+00   4.06323E+21   1.49021E+12   5.72673E+02   8.96702E-04   3.66755E-10
 2.97500E+00   4.14334E+21   1.52096E+12   5.84215E+02   9.14973E-04   3.67086E-10
 3.02500E+00   4.22264E+21   1.55142E+12   5.95649E+02   9.33082E-04   3.67405E-10
 3.07500E+00   4.30114E+21   1.58158E+12   6.06977E+02   9.51030E-04   3.67711E-10
 3.12500E+00   4.37885E+21   1.61144E+12   6.18200E+02   9.68820E-04   3.68006E-10
 3.17500E+00   4.45578E+21   1.64102E+12   6.29321E+02   9.86455E-04   3.68290E-10
 3.22500E+00   4.53195E+21   1.67031E+12   6.40341E+02   1.00394E-03   3.68563E-10
 3.27500E+00   4.60737E+21   1.69932E+12   6.51262E+02   1.02127E-03   3.68825E-10
 3.32500E+00   4.68206E+21   1.72805E+12   6.62086E+02   1.03845E-03   3.69079E-10
 3.37500E+00   4.75603E+21   1.75651E+12   6.72814E+02   1.05549E-03   3.69323E-10
 3.42500E+00   4.82930E+21   1.78472E+12   6.83448E+02   1.07239E-03   3.69560E-10
 3.47500E+00   4.90187E+21   1.81266E+12   6.93990E+02   1.08915E-03   3.69789E-10
 3.52500E+00   4.97375E+21   1.84034E+12   7.04441E+02   1.10577E-03   3.70011E-10
