
   time:  355.468 dt:   0.08889 mass:   1.779
      X         N         T         U         P        Q         JM
  49.0250   1.78637   1.21013   0.52812   2.16174   0.00944   0.94343
  49.0750   1.78588   1.21066   0.52804   2.16209   0.00974   0.94302
  49.1250   1.78538   1.21118   0.52796   2.16242   0.00995   0.94260
  49.1750   1.78486   1.21171   0.52787   2.16273   0.01011   0.94217
  49.2250   1.78430   1.21226   0.52778   2.16304   0.01027   0.94172
  49.2750   1.78372   1.21282   0.52769   2.16332   0.01037   0.94125
  49.3250   1.78310   1.21340   0.52760   2.16360   0.01046   0.94076
  49.3750   1.78247   1.21398   0.52750   2.16389   0.01049   0.94025
  49.4250   1.78182   1.21457   0.52740   2.16416   0.01049   0.93973
  49.4750   1.78117   1.21517   0.52729   2.16442   0.01043   0.93919
  49.5250   1.78054   1.21574   0.52716   2.16468   0.01028   0.93863
  49.5750   1.77995   1.21629   0.52701   2.16492   0.01003   0.93805
  49.6250   1.77939   1.21678   0.52684   2.16512   0.00966   0.93746
  49.6750   1.77891   1.21716   0.52665   2.16522   0.00913   0.93686
  49.7250   1.77847   1.21736   0.52642   2.16505   0.00840   0.93622
  49.7750   1.77798   1.21723   0.52617   2.16420   0.00742   0.93551
  49.8250   1.77705   1.21645   0.52592   2.16169   0.00616   0.93459
  49.8750   1.77453   1.21437   0.52579   2.15494   0.00471   0.93303
  49.9250   1.76714   1.20938   0.52610   2.13714   0.00343   0.92969
  49.9750   1.74606   1.19647   0.52787   2.08911   0.00343   0.92169
