      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 4.17500E+00   6.23209E+21   2.35352E+12   8.79409E+02   1.37805E-03   3.77645E-10
 4.22500E+00   6.26661E+21   2.37214E+12   8.84906E+02   1.38717E-03   3.78537E-10
 4.27500E+00   6.29706E+21   2.38968E+12   8.89859E+02   1.39546E-03   3.79492E-10
 4.32500E+00   6.32319E+21   2.40609E+12   8.94231E+02   1.40287E-03   3.80519E-10
 4.37500E+00   6.34472E+21   2.42125E+12   8.97985E+02   1.40933E-03   3.81616E-10
 4.42500E+00   6.36138E+21   2.43494E+12   9.01078E+02   1.41478E-03   3.82769E-10
 4.47500E+00   6.37286E+21   2.44698E+12   9.03471E+02   1.41916E-03   3.83968E-10
 4.52500E+00   6.37887E+21   2.45751E+12   9.05121E+02   1.42240E-03   3.85258E-10
 4.57500E+00   6.37911E+21   2.46717E+12   9.05983E+02   1.42443E-03   3.86757E-10
 4.62500E+00   6.37328E+21   2.47607E+12   9.06014E+02   1.42518E-03   3.88508E-10
 4.67500E+00   6.36110E+21   2.48201E+12   9.05170E+02   1.42459E-03   3.90185E-10
 4.72500E+00   6.34227E+21   2.48300E+12   9.03410E+02   1.42257E-03   3.91501E-10
 4.77500E+00   6.31653E+21   2.48361E+12   9.00691E+02   1.41907E-03   3.93193E-10
 4.82500E+00   6.28364E+21   2.48311E+12   8.96975E+02   1.41402E-03   3.95171E-10
 4.87500E+00   6.24338E+21   2.47981E+12   8.92226E+02   1.40737E-03   3.97191E-10
 4.92500E+00   6.19555E+21   2.47380E+12   8.86413E+02   1.39905E-03   3.99287E-10
 4.97500E+00   6.14001E+21   2.46505E+12   8.79507E+02   1.38902E-03   4.01473E-10
 5.02500E+00   6.07666E+21   2.45344E+12   8.71488E+02   1.37724E-03   4.03748E-10
 5.07500E+00   6.00545E+21   2.43885E+12   8.62341E+02   1.36368E-03   4.06106E-10
 5.12500E+00   5.92637E+21   2.42115E+12   8.52057E+02   1.34832E-03   4.08539E-10
 5.17500E+00   5.83949E+21   2.40023E+12   8.40639E+02   1.33116E-03   4.11034E-10
 5.22500E+00   5.74495E+21   2.37599E+12   8.28095E+02   1.31221E-03   4.13578E-10
 5.27500E+00   5.64294E+21   2.34833E+12   8.14444E+02   1.29148E-03   4.16154E-10
 5.32500E+00   5.53372E+21   2.31719E+12   7.99716E+02   1.26902E-03   4.18739E-10
 5.37500E+00   5.41765E+21   2.28251E+12   7.83952E+02   1.24488E-03   4.21311E-10
 5.42500E+00   5.29512E+21   2.24428E+12   7.67200E+02   1.21913E-03   4.23840E-10
 5.47500E+00   5.16661E+21   2.20251E+12   7.49521E+02   1.19186E-03   4.26297E-10
 5.52500E+00   5.03265E+21   2.15723E+12   7.30984E+02   1.16317E-03   4.28647E-10
 5.57500E+00   4.89383E+21   2.10852E+12   7.11668E+02   1.13319E-03   4.30853E-10
 5.62500E+00   4.75078E+21   2.05651E+12   6.91658E+02   1.10204E-03   4.32878E-10
 5.67500E+00   4.60416E+21   2.00133E+12   6.71047E+02   1.06986E-03   4.34678E-10
 5.72500E+00   4.45464E+21   1.94317E+12   6.49932E+02   1.03681E-03   4.36213E-10
 5.77500E+00   4.30294E+21   1.88227E+12   6.28414E+02   1.00304E-03   4.37439E-10
 5.82500E+00   4.14974E+21   1.81888E+12   6.06594E+02   9.68725E-04   4.38312E-10
 5.87500E+00   3.99573E+21   1.75329E+12   5.84575E+02   9.34018E-04   4.38791E-10
 5.92500E+00   3.84155E+21   1.68580E+12   5.62456E+02   8.99083E-04   4.38832E-10
 5.97500E+00   3.68782E+21   1.61673E+12   5.40331E+02   8.64075E-04   4.38398E-10
 6.02500E+00   3.53512E+21   1.54644E+12   5.18292E+02   8.29144E-04   4.37450E-10
 6.07500E+00   3.38397E+21   1.47525E+12   4.96421E+02   7.94429E-04   4.35953E-10
 6.12500E+00   3.23484E+21   1.40352E+12   4.74794E+02   7.60055E-04   4.33876E-10
 6.17500E+00   3.08813E+21   1.33156E+12   4.53479E+02   7.26138E-04   4.31188E-10
 6.22500E+00   2.94419E+21   1.25970E+12   4.32534E+02   6.92777E-04   4.27861E-10
 6.27500E+00   2.80333E+21   1.18823E+12   4.12010E+02   6.60060E-04   4.23862E-10
 6.32500E+00   2.66580E+21   1.11739E+12   3.91948E+02   6.28058E-04   4.19157E-10
 6.37500E+00   2.53178E+21   1.04740E+12   3.72383E+02   5.96832E-04   4.13703E-10
 6.42500E+00   2.40144E+21   9.78443E+11   3.53342E+02   5.66429E-04   4.07440E-10
 6.47500E+00   2.27490E+21   9.10630E+11   3.34847E+02   5.36886E-04   4.00294E-10
 6.52500E+00   2.15225E+21   8.44053E+11   3.16912E+02   5.08233E-04   3.92172E-10
 6.57500E+00   2.03357E+21   7.78767E+11   2.99551E+02   4.80488E-04   3.82956E-10
 6.62500E+00   1.91889E+21   7.14818E+11   2.82771E+02   4.53667E-04   3.72517E-10
 6.67500E+00   1.80824E+21   6.52259E+11   2.66577E+02   4.27779E-04   3.60714E-10
 6.72500E+00   1.70165E+21   5.91174E+11   2.50971E+02   4.02828E-04   3.47411E-10
 6.77500E+00   1.59912E+21   5.31696E+11   2.35955E+02   3.78815E-04   3.32493E-10
 6.82500E+00   1.50064E+21   4.74022E+11   2.21528E+02   3.55740E-04   3.15880E-10
 6.87500E+00   1.40619E+21   4.18414E+11   2.07687E+02   3.33599E-04   2.97552E-10
 6.92500E+00   1.31574E+21   3.65197E+11   1.94427E+02   3.12384E-04   2.77560E-10
 6.97500E+00   1.22927E+21   3.14744E+11   1.81745E+02   2.92089E-04   2.56043E-10
 7.02500E+00   1.14672E+21   2.67449E+11   1.69634E+02   2.72703E-04   2.33230E-10
 7.07500E+00   1.06805E+21   2.23696E+11   1.58087E+02   2.54216E-04   2.09443E-10
 7.12500E+00   9.93201E+20   1.83826E+11   1.47095E+02   2.36613E-04   1.85084E-10
 7.17500E+00   9.22104E+20   1.48105E+11   1.36649E+02   2.19880E-04   1.60616E-10
 7.22500E+00   8.54690E+20   1.16697E+11   1.26739E+02   2.04001E-04   1.36537E-10
 7.27500E+00   7.90877E+20   8.96474E+10   1.17352E+02   1.88957E-04   1.13352E-10
 7.32500E+00   7.30581E+20   6.68754E+10   1.08478E+02   1.74730E-04   9.15372E-11
 7.37500E+00   6.73711E+20   4.81810E+10   1.00103E+02   1.61298E-04   7.15158E-11
 7.42500E+00   6.20171E+20   3.32619E+10   9.22137E+01   1.48640E-04   5.36334E-11
 7.47500E+00   5.69861E+20   2.17379E+10   8.47950E+01   1.36734E-04   3.81461E-11
 7.52500E+00   5.22675E+20   1.31816E+10   7.78321E+01   1.25556E-04   2.52195E-11
 7.57500E+00   4.78506E+20   7.14835E+09   7.13098E+01   1.15081E-04   1.49389E-11
