
   time:  133.245 dt:   0.08889 mass:   2.312
      X         N         T         U         P        Q         JM
   0.0250   2.70036   0.93060   0.48632   2.51296   0.08027   1.31325
   0.0750   2.50809   0.90626   0.53930   2.27297   0.05037   1.35261
   0.1250   2.40700   0.89345   0.56919   2.15054   0.03044   1.37003
   0.1750   2.34947   0.88604   0.58678   2.08172   0.01849   1.37862
   0.2250   2.31510   0.88153   0.59747   2.04082   0.01137   1.38319
   0.2750   2.29391   0.87871   0.60412   2.01567   0.00704   1.38579
   0.3250   2.28058   0.87692   0.60832   1.99988   0.00434   1.38732
   0.3750   2.27207   0.87578   0.61101   1.98983   0.00262   1.38825
   0.4250   2.26658   0.87506   0.61274   1.98339   0.00150   1.38882
   0.4750   2.26302   0.87460   0.61386   1.97923   0.00075   1.38918
   0.5250   2.26071   0.87430   0.61459   1.97654   0.00025   1.38940
   0.5750   2.25919   0.87412   0.61506   1.97481   0.00009   1.38953
   0.6250   2.25821   0.87401   0.61536   1.97370   0.00032   1.38960
   0.6750   2.25757   0.87395   0.61555   1.97299   0.00048   1.38964
   0.7250   2.25715   0.87391   0.61567   1.97255   0.00060   1.38965
   0.7750   2.25689   0.87389   0.61574   1.97228   0.00068   1.38965
   0.8250   2.25672   0.87389   0.61577   1.97213   0.00073   1.38963
   0.8750   2.25662   0.87389   0.61579   1.97205   0.00078   1.38961
   0.9250   2.25655   0.87391   0.61580   1.97201   0.00082   1.38958
   0.9750   2.25650   0.87393   0.61580   1.97201   0.00087   1.38955
