
   time: 2666.069 dt:   0.08889 mass:   2.579
      X         N         T         U         P        Q         JM
   0.0250   2.86741   0.95440   0.41924   2.73667   0.05477   1.20213
   0.0750   2.71030   0.93656   0.45617   2.53837   0.03001   1.23636
   0.1250   2.63401   0.92817   0.47479   2.44480   0.01543   1.25060
   0.1750   2.59440   0.92377   0.48455   2.39664   0.00784   1.25712
   0.2250   2.57295   0.92135   0.48984   2.37058   0.00394   1.26033
   0.2750   2.56100   0.91997   0.49278   2.35604   0.00190   1.26201
   0.3250   2.55420   0.91918   0.49445   2.34778   0.00079   1.26293
   0.3750   2.55027   0.91873   0.49542   2.34301   0.00017   1.26345
   0.4250   2.54799   0.91846   0.49598   2.34023   0.00019   1.26375
   0.4750   2.54663   0.91831   0.49631   2.33861   0.00042   1.26393
   0.5250   2.54583   0.91823   0.49651   2.33766   0.00056   1.26403
   0.5750   2.54535   0.91818   0.49663   2.33709   0.00066   1.26410
   0.6250   2.54506   0.91815   0.49670   2.33676   0.00072   1.26413
   0.6750   2.54489   0.91814   0.49674   2.33656   0.00077   1.26416
   0.7250   2.54479   0.91813   0.49677   2.33645   0.00078   1.26417
   0.7750   2.54473   0.91812   0.49678   2.33638   0.00080   1.26417
   0.8250   2.54470   0.91812   0.49679   2.33634   0.00080   1.26418
   0.8750   2.54469   0.91811   0.49679   2.33631   0.00080   1.26418
   0.9250   2.54469   0.91811   0.49679   2.33630   0.00078   1.26418
   0.9750   2.54471   0.91810   0.49679   2.33629   0.00076   1.26418
