
   time:  133.245 dt:   0.08889 mass:   2.306
      X         N         T         U         P        Q         JM
   0.0250   2.69728   0.93013   0.48762   2.50884   0.08083   1.31524
   0.0750   2.50430   0.90563   0.54096   2.26798   0.05088   1.35472
   0.1250   2.40267   0.89272   0.57113   2.14490   0.03087   1.37223
   0.1750   2.34472   0.88521   0.58893   2.07556   0.01885   1.38088
   0.2250   2.31001   0.88062   0.59979   2.03425   0.01165   1.38553
   0.2750   2.28855   0.87775   0.60657   2.00877   0.00727   1.38817
   0.3250   2.27501   0.87592   0.61088   1.99272   0.00454   1.38975
   0.3750   2.26633   0.87474   0.61365   1.98245   0.00279   1.39073
   0.4250   2.26071   0.87398   0.61545   1.97583   0.00164   1.39135
   0.4750   2.25705   0.87349   0.61662   1.97152   0.00088   1.39174
   0.5250   2.25464   0.87318   0.61739   1.96870   0.00037   1.39200
   0.5750   2.25306   0.87297   0.61790   1.96686   0.00002   1.39217
   0.6250   2.25201   0.87284   0.61824   1.96565   0.00022   1.39228
   0.6750   2.25132   0.87276   0.61846   1.96485   0.00037   1.39235
   0.7250   2.25086   0.87270   0.61861   1.96433   0.00049   1.39240
   0.7750   2.25055   0.87267   0.61871   1.96398   0.00057   1.39243
   0.8250   2.25034   0.87264   0.61878   1.96375   0.00063   1.39246
   0.8750   2.25021   0.87263   0.61882   1.96360   0.00066   1.39247
   0.9250   2.25013   0.87261   0.61884   1.96349   0.00067   1.39248
   0.9750   2.25008   0.87260   0.61886   1.96342   0.00068   1.39248
