
   time: 1777.397 dt:   0.08889 mass:   2.558
      X         N         T         U         P        Q         JM
   0.0250   2.85277   0.95246   0.42486   2.71714   0.05655   1.21203
   0.0750   2.69283   0.93419   0.46293   2.51562   0.03121   1.24658
   0.1250   2.61470   0.92555   0.48225   2.42003   0.01613   1.26094
   0.1750   2.57386   0.92103   0.49244   2.37059   0.00816   1.26748
   0.2250   2.55161   0.91854   0.49797   2.34376   0.00401   1.27063
   0.2750   2.53918   0.91714   0.50104   2.32879   0.00183   1.27222
   0.3250   2.53209   0.91637   0.50275   2.32032   0.00062   1.27301
   0.3750   2.52801   0.91594   0.50371   2.31551   0.00007   1.27339
   0.4250   2.52565   0.91572   0.50424   2.31280   0.00047   1.27354
   0.4750   2.52429   0.91563   0.50452   2.31131   0.00073   1.27356
   0.5250   2.52352   0.91560   0.50465   2.31053   0.00089   1.27350
   0.5750   2.52311   0.91561   0.50470   2.31018   0.00099   1.27340
   0.6250   2.52289   0.91564   0.50469   2.31007   0.00105   1.27328
   0.6750   2.52280   0.91569   0.50465   2.31011   0.00108   1.27313
   0.7250   2.52280   0.91574   0.50459   2.31023   0.00111   1.27298
   0.7750   2.52283   0.91580   0.50452   2.31041   0.00112   1.27282
   0.8250   2.52292   0.91585   0.50444   2.31062   0.00110   1.27266
   0.8750   2.52302   0.91591   0.50435   2.31085   0.00107   1.27250
   0.9250   2.52317   0.91595   0.50426   2.31110   0.00102   1.27234
   0.9750   2.52338   0.91598   0.50416   2.31136   0.00093   1.27218
