
   time:  266.571 dt:   0.08889 mass:   2.306
      X         N         T         U         P        Q         JM
   0.0250   2.69721   0.93012   0.48765   2.50874   0.08085   1.31529
   0.0750   2.50421   0.90562   0.54100   2.26786   0.05089   1.35477
   0.1250   2.40257   0.89270   0.57118   2.14477   0.03088   1.37228
   0.1750   2.34460   0.88519   0.58899   2.07542   0.01886   1.38094
   0.2250   2.30988   0.88060   0.59985   2.03409   0.01165   1.38558
   0.2750   2.28842   0.87773   0.60663   2.00861   0.00727   1.38823
   0.3250   2.27488   0.87589   0.61094   1.99255   0.00455   1.38981
   0.3750   2.26620   0.87472   0.61371   1.98228   0.00280   1.39078
   0.4250   2.26057   0.87396   0.61551   1.97565   0.00164   1.39141
   0.4750   2.25691   0.87347   0.61669   1.97134   0.00088   1.39180
   0.5250   2.25450   0.87315   0.61746   1.96852   0.00038   1.39206
   0.5750   2.25292   0.87295   0.61797   1.96668   0.00003   1.39223
   0.6250   2.25187   0.87281   0.61831   1.96546   0.00021   1.39234
   0.6750   2.25117   0.87273   0.61853   1.96467   0.00038   1.39242
   0.7250   2.25072   0.87267   0.61868   1.96414   0.00049   1.39246
   0.7750   2.25041   0.87264   0.61878   1.96379   0.00057   1.39250
   0.8250   2.25020   0.87261   0.61884   1.96356   0.00062   1.39252
   0.8750   2.25007   0.87260   0.61888   1.96341   0.00065   1.39253
   0.9250   2.24999   0.87259   0.61891   1.96330   0.00067   1.39254
   0.9750   2.24994   0.87257   0.61893   1.96323   0.00067   1.39255
