
   time: 1066.460 dt:   0.08889 mass:   2.501
      X         N         T         U         P        Q         JM
  49.0250   2.54496   0.90415   0.48673   2.30103   0.00113   1.23869
  49.0750   2.54474   0.90423   0.48675   2.30104   0.00126   1.23865
  49.1250   2.54447   0.90432   0.48679   2.30103   0.00142   1.23861
  49.1750   2.54413   0.90444   0.48684   2.30101   0.00165   1.23857
  49.2250   2.54367   0.90459   0.48691   2.30097   0.00197   1.23854
  49.2750   2.54307   0.90477   0.48701   2.30089   0.00240   1.23850
  49.3250   2.54224   0.90502   0.48716   2.30078   0.00301   1.23848
  49.3750   2.54111   0.90536   0.48737   2.30062   0.00386   1.23846
  49.4250   2.53956   0.90582   0.48767   2.30038   0.00506   1.23846
  49.4750   2.53741   0.90645   0.48809   2.30004   0.00676   1.23848
  49.5250   2.53441   0.90733   0.48868   2.29955   0.00914   1.23852
  49.5750   2.53022   0.90855   0.48952   2.29885   0.01252   1.23860
  49.6250   2.52433   0.91027   0.49071   2.29783   0.01730   1.23872
  49.6750   2.51599   0.91270   0.49240   2.29636   0.02412   1.23889
  49.7250   2.50413   0.91615   0.49482   2.29416   0.03385   1.23909
  49.7750   2.48701   0.92108   0.49829   2.29074   0.04787   1.23925
  49.8250   2.46176   0.92820   0.50335   2.28501   0.06838   1.23914
  49.8750   2.42315   0.93859   0.51093   2.27434   0.09905   1.23806
  49.9250   2.36059   0.95385   0.52282   2.25164   0.14681   1.23416
  49.9750   2.25117   0.97602   0.54323   2.19719   0.22634   1.22291
