      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 1.02500E+00   1.92969E+20   6.51269E+10   2.70327E+01   4.21975E-05   3.37499E-10
 1.07500E+00   3.04257E+20   9.68065E+10   4.26425E+01   6.65793E-05   3.18173E-10
 1.12500E+00   4.14037E+20   1.13855E+11   5.80594E+01   9.06745E-05   2.74989E-10
 1.17500E+00   5.22357E+20   1.50206E+11   7.32895E+01   1.14492E-04   2.87554E-10
 1.22500E+00   6.29262E+20   1.89944E+11   8.83381E+01   1.38039E-04   3.01852E-10
 1.27500E+00   7.34789E+20   2.29943E+11   1.03210E+02   1.61323E-04   3.12938E-10
 1.32500E+00   8.38971E+20   2.69599E+11   1.17908E+02   1.84349E-04   3.21345E-10
 1.37500E+00   9.41839E+20   3.08801E+11   1.32438E+02   2.07123E-04   3.27871E-10
 1.42500E+00   1.04342E+21   3.47537E+11   1.46802E+02   2.29650E-04   3.33074E-10
 1.47500E+00   1.14375E+21   3.85812E+11   1.61004E+02   2.51935E-04   3.37321E-10
 1.52500E+00   1.24285E+21   4.23634E+11   1.75047E+02   2.73982E-04   3.40856E-10
 1.57500E+00   1.34074E+21   4.61011E+11   1.88935E+02   2.95796E-04   3.43847E-10
 1.62500E+00   1.43746E+21   4.97952E+11   2.02669E+02   3.17382E-04   3.46412E-10
 1.67500E+00   1.53301E+21   5.34466E+11   2.16253E+02   3.38743E-04   3.48637E-10
 1.72500E+00   1.62744E+21   5.70561E+11   2.29691E+02   3.59884E-04   3.50588E-10
 1.77500E+00   1.72076E+21   6.06245E+11   2.42984E+02   3.80809E-04   3.52313E-10
 1.82500E+00   1.81299E+21   6.41528E+11   2.56136E+02   4.01522E-04   3.53851E-10
 1.87500E+00   1.90416E+21   6.76418E+11   2.69150E+02   4.22028E-04   3.55232E-10
 1.92500E+00   1.99428E+21   7.10921E+11   2.82027E+02   4.42329E-04   3.56480E-10
 1.97500E+00   2.08338E+21   7.45044E+11   2.94771E+02   4.62430E-04   3.57613E-10
 2.02500E+00   2.17148E+21   7.78796E+11   3.07385E+02   4.82334E-04   3.58647E-10
 2.07500E+00   2.25860E+21   8.12185E+11   3.19869E+02   5.02046E-04   3.59596E-10
 2.12500E+00   2.34476E+21   8.45216E+11   3.32228E+02   5.21567E-04   3.60471E-10
 2.17500E+00   2.42997E+21   8.77897E+11   3.44463E+02   5.40902E-04   3.61279E-10
 2.22500E+00   2.51426E+21   9.10233E+11   3.56576E+02   5.60054E-04   3.62028E-10
