      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 1.02500E+00   2.91592E+17   6.19871E+08   2.67657E+00   7.81599E-05   4.00563E-09
 1.07500E+00   4.08863E+17   9.13197E+08   4.37476E+00   1.33096E-04   4.27363E-09
 1.12500E+00   4.98809E+17   1.08547E+09   6.39735E+00   2.05857E-04   4.62536E-09
 1.17500E+00   5.63419E+17   1.52188E+09   8.95263E+00   2.98549E-04   5.02724E-09
 1.22500E+00   6.05495E+17   2.01011E+09   1.19981E+01   4.12285E-04   5.46551E-09
 1.27500E+00   6.28489E+17   2.48535E+09   1.54163E+01   5.46657E-04   5.93026E-09
 1.32500E+00   6.36362E+17   2.92002E+09   1.90647E+01   6.99760E-04   6.41234E-09
 1.37500E+00   6.31930E+17   3.29654E+09   2.27959E+01   8.68411E-04   6.90696E-09
 1.42500E+00   6.17830E+17   3.60561E+09   2.64733E+01   1.04846E-03   7.41018E-09
 1.47500E+00   5.96391E+17   3.86233E+09   2.99828E+01   1.23508E-03   7.91874E-09
 1.52500E+00   5.69583E+17   4.09310E+09   3.32118E+01   1.42300E-03   8.42981E-09
 1.57500E+00   5.39014E+17   4.16574E+09   3.59880E+01   1.60678E-03   8.94102E-09
 1.62500E+00   5.05965E+17   4.16936E+09   3.82725E+01   1.78157E-03   9.45140E-09
 1.67500E+00   4.71450E+17   4.16937E+09   4.00670E+01   1.94339E-03   9.96115E-09
 1.72500E+00   4.36271E+17   4.10619E+09   4.13285E+01   2.08903E-03   1.04712E-08
 1.77500E+00   4.01069E+17   3.98614E+09   4.20451E+01   2.21629E-03   1.09834E-08
 1.82500E+00   3.66361E+17   3.82306E+09   4.22342E+01   2.32415E-03   1.15006E-08
 1.87500E+00   3.32572E+17   3.62599E+09   4.19308E+01   2.41279E-03   1.20267E-08
 1.92500E+00   3.00055E+17   3.40171E+09   4.11841E+01   2.48364E-03   1.25670E-08
 1.97500E+00   2.69100E+17   3.15809E+09   4.00568E+01   2.53935E-03   1.31282E-08
 2.02500E+00   2.39942E+17   2.90315E+09   3.86216E+01   2.58374E-03   1.37188E-08
 2.07500E+00   2.12762E+17   2.64403E+09   3.69573E+01   2.62168E-03   1.43493E-08
 2.12500E+00   1.87691E+17   2.38704E+09   3.51459E+01   2.65899E-03   1.50323E-08
 2.17500E+00   1.64809E+17   2.13773E+09   3.32697E+01   2.70231E-03   1.57829E-08
 2.22500E+00   1.44150E+17   1.90081E+09   3.14096E+01   2.75894E-03   1.66179E-08
 2.27500E+00   1.25701E+17   1.68013E+09   2.96432E+01   2.83672E-03   1.75561E-08
 2.32500E+00   1.09413E+17   1.47865E+09   2.80432E+01   2.94389E-03   1.86160E-08
 2.37500E+00   9.52013E+16   1.29843E+09   2.66767E+01   3.08890E-03   1.98147E-08
 2.42500E+00   8.29612E+16   1.14067E+09   2.56046E+01   3.28024E-03   2.11647E-08
 2.47500E+00   7.25698E+16   1.00597E+09   2.48813E+01   3.52632E-03   2.26703E-08
 2.52500E+00   6.38971E+16   8.94459E+08   2.45553E+01   3.83522E-03   2.43242E-08
 2.57500E+00   5.68107E+16   8.06022E+08   2.46688E+01   4.21454E-03   2.61041E-08
 2.62500E+00   5.11822E+16   7.40374E+08   2.52587E+01   4.67113E-03   2.79706E-08
 2.67500E+00   4.68905E+16   6.97314E+08   2.63554E+01   5.21088E-03   2.98683E-08
 2.72500E+00   4.38246E+16   6.75705E+08   2.79835E+01   5.83848E-03   3.17294E-08
 2.77500E+00   4.18857E+16   6.76047E+08   3.01611E+01   6.55712E-03   3.34825E-08
 2.82500E+00   4.09876E+16   6.78848E+08   3.29010E+01   7.36833E-03   3.50623E-08
 2.87500E+00   4.10570E+16   6.85642E+08   3.62284E+01   8.27168E-03   3.64198E-08
 2.92500E+00   4.20333E+16   7.33308E+08   4.01750E+01   9.26450E-03   3.75271E-08
