      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 1.02500E+00   8.78686E+16   1.63868E+08   5.72714E-01   1.47533E-05   3.42731E-09
 1.07500E+00   1.19543E+17   2.37082E+08   9.14520E-01   2.47712E-05   3.67628E-09
 1.12500E+00   1.41290E+17   2.79576E+08   1.29755E+00   3.77093E-05   3.99988E-09
 1.17500E+00   1.54715E+17   3.75832E+08   1.75624E+00   5.38332E-05   4.36959E-09
 1.22500E+00   1.61243E+17   4.71317E+08   2.26759E+00   7.32767E-05   4.77636E-09
 1.27500E+00   1.62152E+17   5.50774E+08   2.79888E+00   9.60241E-05   5.21700E-09
 1.32500E+00   1.58595E+17   6.13246E+08   3.32191E+00   1.22007E-04   5.69245E-09
 1.37500E+00   1.51606E+17   6.65542E+08   3.81322E+00   1.51204E-04   6.20703E-09
 1.42500E+00   1.42105E+17   6.71851E+08   4.23901E+00   1.83748E-04   6.76819E-09
 1.47500E+00   1.30906E+17   6.71872E+08   4.60454E+00   2.20118E-04   7.38754E-09
 1.52500E+00   1.18718E+17   6.64207E+08   4.91326E+00   2.61201E-04   8.08017E-09
 1.57500E+00   1.06153E+17   6.41123E+08   5.16779E+00   3.08340E-04   8.86408E-09
 1.62500E+00   9.37271E+16   6.08066E+08   5.38049E+00   3.63417E-04   9.75996E-09
 1.67500E+00   8.18616E+16   5.68663E+08   5.57018E+00   4.28918E-04   1.07903E-08
 1.72500E+00   7.08844E+16   5.25878E+08   5.76075E+00   5.07981E-04   1.19775E-08
 1.77500E+00   6.10303E+16   4.82372E+08   5.98047E+00   6.04426E-04   1.33414E-08
 1.82500E+00   5.24442E+16   4.40526E+08   6.26133E+00   7.22781E-04   1.48949E-08
 1.87500E+00   4.51894E+16   4.02408E+08   6.63854E+00   8.68271E-04   1.66395E-08
 1.92500E+00   3.92606E+16   3.69876E+08   7.15012E+00   1.04681E-03   1.85597E-08
 1.97500E+00   3.46020E+16   3.44674E+08   7.83643E+00   1.26494E-03   2.06185E-08
 2.02500E+00   3.11264E+16   3.28361E+08   8.73935E+00   1.52975E-03   2.27561E-08
