      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 1.02500E+00   6.28397E+16   2.04951E+08   2.03202E+00   1.24263E-04   7.79777E-09
 1.07500E+00   9.41399E+16   3.04688E+08   3.42175E+00   2.14491E-04   8.17486E-09
 1.12500E+00   1.25531E+17   3.62634E+08   5.30304E+00   3.43368E-04   8.68836E-09
 1.17500E+00   1.56780E+17   5.50890E+08   7.90631E+00   5.21479E-04   9.27364E-09
 1.22500E+00   1.87944E+17   8.14609E+08   1.13954E+01   7.60400E-04   9.89934E-09
 1.27500E+00   2.19207E+17   1.14533E+09   1.59092E+01   1.07191E-03   1.05448E-08
 1.32500E+00   2.50715E+17   1.54349E+09   2.15629E+01   1.46721E-03   1.11954E-08
 1.37500E+00   2.82454E+17   2.01003E+09   2.84407E+01   1.95605E-03   1.18416E-08
 1.42500E+00   3.14222E+17   2.54416E+09   3.65874E+01   2.54587E-03   1.24777E-08
 1.47500E+00   3.45666E+17   3.14242E+09   4.60003E+01   3.24100E-03   1.31001E-08
 1.52500E+00   3.76357E+17   3.79829E+09   5.66243E+01   4.04197E-03   1.37067E-08
 1.57500E+00   4.05842E+17   4.50212E+09   6.83503E+01   4.94514E-03   1.42958E-08
 1.62500E+00   4.33687E+17   5.24141E+09   8.10172E+01   5.94245E-03   1.48661E-08
 1.67500E+00   4.59491E+17   6.00158E+09   9.44180E+01   7.02168E-03   1.54166E-08
 1.72500E+00   4.82902E+17   6.76689E+09   1.08309E+02   8.16688E-03   1.59466E-08
 1.77500E+00   5.03622E+17   7.52100E+09   1.22423E+02   9.35914E-03   1.64555E-08
 1.82500E+00   5.21414E+17   8.24697E+09   1.36480E+02   1.05776E-02   1.69435E-08
 1.87500E+00   5.36103E+17   8.92698E+09   1.50202E+02   1.18005E-02   1.74108E-08
 1.92500E+00   5.47574E+17   9.54457E+09   1.63331E+02   1.30063E-02   1.78582E-08
 1.97500E+00   5.55773E+17   1.00910E+10   1.75642E+02   1.41749E-02   1.82870E-08
 2.02500E+00   5.60702E+17   1.05712E+10   1.86946E+02   1.52879E-02   1.86985E-08
