
   time:  266.571 dt:   0.08889 mass:   2.317
      X         N         T         U         P        Q         JM
   0.0250   2.70374   0.93110   0.48491   2.51745   0.07970   1.31108
   0.0750   2.51225   0.90691   0.53751   2.27838   0.04989   1.35034
   0.1250   2.41174   0.89422   0.56710   2.15662   0.03007   1.36770
   0.1750   2.35465   0.88688   0.58448   2.08830   0.01821   1.37625
   0.2250   2.32061   0.88243   0.59502   2.04777   0.01117   1.38081
   0.2750   2.29968   0.87965   0.60156   2.02290   0.00690   1.38339
   0.3250   2.28653   0.87789   0.60569   2.00731   0.00426   1.38492
   0.3750   2.27815   0.87677   0.60833   1.99741   0.00257   1.38586
   0.4250   2.27276   0.87605   0.61002   1.99106   0.00148   1.38644
   0.4750   2.26926   0.87560   0.61113   1.98695   0.00074   1.38680
   0.5250   2.26698   0.87531   0.61184   1.98431   0.00025   1.38703
   0.5750   2.26549   0.87512   0.61231   1.98259   0.00008   1.38717
   0.6250   2.26453   0.87501   0.61261   1.98149   0.00030   1.38726
   0.6750   2.26389   0.87494   0.61280   1.98077   0.00046   1.38731
   0.7250   2.26347   0.87490   0.61293   1.98031   0.00057   1.38734
   0.7750   2.26320   0.87488   0.61300   1.98003   0.00065   1.38735
   0.8250   2.26303   0.87487   0.61305   1.97985   0.00071   1.38735
   0.8750   2.26291   0.87486   0.61308   1.97974   0.00075   1.38735
   0.9250   2.26283   0.87487   0.61310   1.97968   0.00079   1.38734
   0.9750   2.26276   0.87488   0.61311   1.97965   0.00085   1.38732
