      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 1.02500E+00   2.29431E+20   7.69078E+10   3.15644E+01   4.88276E-05   3.35211E-10
 1.07500E+00   3.62204E+20   1.14512E+11   4.98569E+01   7.71448E-05   3.16152E-10
 1.12500E+00   4.92968E+20   1.34751E+11   6.78974E+01   1.05091E-04   2.73346E-10
 1.17500E+00   6.21790E+20   1.77684E+11   8.56939E+01   1.32678E-04   2.85762E-10
 1.22500E+00   7.48731E+20   2.24525E+11   1.03254E+02   1.59916E-04   2.99874E-10
 1.27500E+00   8.73849E+20   2.71601E+11   1.20584E+02   1.86816E-04   3.10810E-10
 1.32500E+00   9.97192E+20   3.18203E+11   1.37690E+02   2.13384E-04   3.19099E-10
 1.37500E+00   1.11881E+21   3.64206E+11   1.54578E+02   2.39630E-04   3.25531E-10
 1.42500E+00   1.23874E+21   4.09601E+11   1.71253E+02   2.65560E-04   3.30659E-10
 1.47500E+00   1.35703E+21   4.54395E+11   1.87719E+02   2.91183E-04   3.34845E-10
 1.52500E+00   1.47372E+21   4.98602E+11   2.03982E+02   3.16505E-04   3.38329E-10
 1.57500E+00   1.58885E+21   5.42238E+11   2.20047E+02   3.41532E-04   3.41278E-10
 1.62500E+00   1.70244E+21   5.85314E+11   2.35917E+02   3.66271E-04   3.43808E-10
 1.67500E+00   1.81455E+21   6.27846E+11   2.51597E+02   3.90728E-04   3.46006E-10
 1.72500E+00   1.92520E+21   6.69843E+11   2.67090E+02   4.14908E-04   3.47935E-10
 1.77500E+00   2.03442E+21   7.11316E+11   2.82402E+02   4.38817E-04   3.49641E-10
 1.82500E+00   2.14225E+21   7.52274E+11   2.97535E+02   4.62461E-04   3.51161E-10
 1.87500E+00   2.24871E+21   7.92728E+11   3.12493E+02   4.85845E-04   3.52526E-10
 1.92500E+00   2.35384E+21   8.32691E+11   3.27280E+02   5.08975E-04   3.53758E-10
 1.97500E+00   2.45767E+21   8.72170E+11   3.41900E+02   5.31855E-04   3.54877E-10
 2.02500E+00   2.56022E+21   9.11179E+11   3.56355E+02   5.54490E-04   3.55899E-10
 2.07500E+00   2.66152E+21   9.49730E+11   3.70650E+02   5.76885E-04   3.56838E-10
 2.12500E+00   2.76160E+21   9.87834E+11   3.84787E+02   5.99045E-04   3.57704E-10
 2.17500E+00   2.86048E+21   1.02550E+12   3.98770E+02   6.20974E-04   3.58507E-10
 2.22500E+00   2.95819E+21   1.06274E+12   4.12601E+02   6.42677E-04   3.59253E-10
 2.27500E+00   3.05475E+21   1.09955E+12   4.26283E+02   6.64157E-04   3.59949E-10
 2.32500E+00   3.15018E+21   1.13596E+12   4.39820E+02   6.85419E-04   3.60600E-10
 2.37500E+00   3.24452E+21   1.17195E+12   4.53213E+02   7.06468E-04   3.61210E-10
 2.42500E+00   3.33778E+21   1.20755E+12   4.66467E+02   7.27307E-04   3.61783E-10
 2.47500E+00   3.42998E+21   1.24276E+12   4.79583E+02   7.47939E-04   3.62322E-10
 2.52500E+00   3.52114E+21   1.27758E+12   4.92564E+02   7.68369E-04   3.62832E-10
 2.57500E+00   3.61128E+21   1.31203E+12   5.05413E+02   7.88601E-04   3.63314E-10
 2.62500E+00   3.70043E+21   1.34611E+12   5.18132E+02   8.08637E-04   3.63771E-10
 2.67500E+00   3.78860E+21   1.37983E+12   5.30722E+02   8.28481E-04   3.64206E-10
 2.72500E+00   3.87581E+21   1.41319E+12   5.43188E+02   8.48136E-04   3.64619E-10
 2.77500E+00   3.96208E+21   1.44620E+12   5.55530E+02   8.67607E-04   3.65011E-10
 2.82500E+00   4.04743E+21   1.47887E+12   5.67752E+02   8.86896E-04   3.65385E-10
 2.87500E+00   4.13187E+21   1.51120E+12   5.79854E+02   9.06006E-04   3.65742E-10
 2.92500E+00   4.21542E+21   1.54320E+12   5.91840E+02   9.24939E-04   3.66084E-10
 2.97500E+00   4.29810E+21   1.57487E+12   6.03711E+02   9.43700E-04   3.66411E-10
 3.02500E+00   4.37992E+21   1.60623E+12   6.15470E+02   9.62291E-04   3.66725E-10
 3.07500E+00   4.46091E+21   1.63727E+12   6.27117E+02   9.80716E-04   3.67027E-10
 3.12500E+00   4.54107E+21   1.66801E+12   6.38657E+02   9.98976E-04   3.67317E-10
 3.17500E+00   4.62042E+21   1.69845E+12   6.50089E+02   1.01707E-03   3.67597E-10
 3.22500E+00   4.69898E+21   1.72860E+12   6.61417E+02   1.03502E-03   3.67866E-10
 3.27500E+00   4.77676E+21   1.75845E+12   6.72642E+02   1.05280E-03   3.68126E-10
 3.32500E+00   4.85377E+21   1.78801E+12   6.83765E+02   1.07043E-03   3.68377E-10
 3.37500E+00   4.93003E+21   1.81730E+12   6.94788E+02   1.08791E-03   3.68619E-10
 3.42500E+00   5.00554E+21   1.84631E+12   7.05712E+02   1.10524E-03   3.68854E-10
 3.47500E+00   5.08033E+21   1.87506E+12   7.16541E+02   1.12243E-03   3.69081E-10
 3.52500E+00   5.15441E+21   1.90353E+12   7.27273E+02   1.13947E-03   3.69302E-10
 3.57500E+00   5.22778E+21   1.93175E+12   7.37913E+02   1.15636E-03   3.69516E-10
 3.62500E+00   5.30046E+21   1.95971E+12   7.48460E+02   1.17312E-03   3.69724E-10
 3.67500E+00   5.37246E+21   1.98741E+12   7.58917E+02   1.18974E-03   3.69926E-10
 3.72500E+00   5.44379E+21   2.01487E+12   7.69285E+02   1.20623E-03   3.70123E-10
 3.77500E+00   5.51448E+21   2.04209E+12   7.79565E+02   1.22258E-03   3.70314E-10
 3.82500E+00   5.58452E+21   2.06907E+12   7.89760E+02   1.23881E-03   3.70500E-10
 3.87500E+00   5.65392E+21   2.09581E+12   7.99870E+02   1.25490E-03   3.70683E-10
