
   time:  266.571 dt:   0.08889 mass:   1.000
      X         N         T         U         P        Q         JM
  49.0250   1.00034   0.99925  -0.00016   0.99959   0.00010  -0.00016
  49.0750   1.00032   0.99928  -0.00016   0.99960   0.00010  -0.00016
  49.1250   1.00030   0.99931  -0.00016   0.99960   0.00010  -0.00016
  49.1750   1.00028   0.99933  -0.00015   0.99961   0.00011  -0.00015
  49.2250   1.00026   0.99935  -0.00015   0.99961   0.00011  -0.00015
  49.2750   1.00024   0.99938  -0.00015   0.99961   0.00011  -0.00015
  49.3250   1.00021   0.99940  -0.00015   0.99961   0.00011  -0.00015
  49.3750   1.00019   0.99942  -0.00015   0.99962   0.00011  -0.00015
  49.4250   1.00017   0.99945  -0.00015   0.99962   0.00012  -0.00015
  49.4750   1.00015   0.99947  -0.00015   0.99962   0.00012  -0.00015
  49.5250   1.00013   0.99949  -0.00015   0.99962   0.00012  -0.00014
  49.5750   1.00011   0.99952  -0.00014   0.99962   0.00012  -0.00014
  49.6250   1.00009   0.99954  -0.00014   0.99963   0.00012  -0.00014
  49.6750   1.00006   0.99957  -0.00014   0.99963   0.00012  -0.00014
  49.7250   1.00004   0.99959  -0.00014   0.99964   0.00012  -0.00014
  49.7750   1.00002   0.99962  -0.00014   0.99964   0.00013  -0.00014
  49.8250   1.00000   0.99965  -0.00014   0.99964   0.00013  -0.00014
  49.8750   0.99997   0.99968  -0.00013   0.99965   0.00013  -0.00013
  49.9250   0.99995   0.99971  -0.00013   0.99966   0.00013  -0.00013
  49.9750   0.99993   0.99975  -0.00013   0.99968   0.00013  -0.00013
