
   time: 1777.397 dt:   0.08889 mass:   2.483
      X         N         T         U         P        Q         JM
  49.0250   2.52361   0.91962   0.49507   2.32076   0.00138   1.24936
  49.0750   2.52386   0.91972   0.49498   2.32124   0.00139   1.24926
  49.1250   2.52387   0.91981   0.49496   2.32148   0.00149   1.24922
  49.1750   2.52371   0.91990   0.49498   2.32157   0.00169   1.24919
  49.2250   2.52339   0.92003   0.49504   2.32159   0.00196   1.24918
  49.2750   2.52290   0.92019   0.49513   2.32155   0.00237   1.24917
  49.3250   2.52220   0.92041   0.49527   2.32144   0.00295   1.24918
  49.3750   2.52120   0.92070   0.49547   2.32128   0.00377   1.24919
  49.4250   2.51979   0.92112   0.49576   2.32103   0.00493   1.24921
  49.4750   2.51783   0.92169   0.49617   2.32067   0.00655   1.24926
  49.5250   2.51506   0.92251   0.49674   2.32016   0.00885   1.24932
  49.5750   2.51117   0.92364   0.49755   2.31943   0.01211   1.24943
  49.6250   2.50567   0.92525   0.49870   2.31838   0.01671   1.24956
  49.6750   2.49788   0.92754   0.50032   2.31687   0.02327   1.24974
  49.7250   2.48675   0.93079   0.50264   2.31464   0.03263   1.24994
  49.7750   2.47064   0.93545   0.50598   2.31116   0.04615   1.25009
  49.8250   2.44682   0.94219   0.51085   2.30536   0.06590   1.24996
  49.8750   2.41023   0.95201   0.51815   2.29455   0.09551   1.24886
  49.9250   2.35056   0.96639   0.52963   2.27156   0.14168   1.24493
  49.9750   2.24529   0.98706   0.54943   2.21624   0.21872   1.23362
