
   time:  177.686 dt:   0.08889 mass:   2.306
      X         N         T         U         P        Q         JM
   0.0250   2.69726   0.93013   0.48763   2.50881   0.08084   1.31526
   0.0750   2.50428   0.90563   0.54097   2.26795   0.05088   1.35473
   0.1250   2.40264   0.89271   0.57114   2.14486   0.03087   1.37224
   0.1750   2.34469   0.88520   0.58895   2.07552   0.01885   1.38090
   0.2250   2.30997   0.88062   0.59981   2.03420   0.01166   1.38555
   0.2750   2.28851   0.87774   0.60659   2.00872   0.00727   1.38819
   0.3250   2.27497   0.87591   0.61089   1.99267   0.00454   1.38977
   0.3750   2.26630   0.87473   0.61367   1.98240   0.00280   1.39075
   0.4250   2.26067   0.87398   0.61547   1.97577   0.00164   1.39137
   0.4750   2.25701   0.87348   0.61664   1.97146   0.00089   1.39176
   0.5250   2.25460   0.87317   0.61741   1.96865   0.00038   1.39202
   0.5750   2.25302   0.87296   0.61792   1.96680   0.00002   1.39219
   0.6250   2.25197   0.87283   0.61826   1.96559   0.00022   1.39230
   0.6750   2.25128   0.87275   0.61848   1.96480   0.00037   1.39238
   0.7250   2.25082   0.87269   0.61863   1.96427   0.00049   1.39242
   0.7750   2.25051   0.87266   0.61873   1.96392   0.00057   1.39246
   0.8250   2.25031   0.87263   0.61880   1.96369   0.00062   1.39248
   0.8750   2.25017   0.87262   0.61884   1.96354   0.00066   1.39249
   0.9250   2.25009   0.87260   0.61887   1.96343   0.00067   1.39250
   0.9750   2.25004   0.87259   0.61888   1.96336   0.00068   1.39251
