      xx/10.          rhoa          temp           vel      vel*rhoa
         [-]           [-]           [-]           [-]           [-]
 1.02500E+00   2.54086E+00   9.17573E-01   4.98250E-01   1.26598E+00
 1.07500E+00   2.54085E+00   9.17571E-01   4.98253E-01   1.26599E+00
 1.12500E+00   2.54085E+00   9.17570E-01   4.98252E-01   1.26599E+00
 1.17500E+00   2.54086E+00   9.17570E-01   4.98250E-01   1.26598E+00
 1.22500E+00   2.54086E+00   9.17569E-01   4.98248E-01   1.26598E+00
 1.27500E+00   2.54087E+00   9.17569E-01   4.98244E-01   1.26598E+00
 1.32500E+00   2.54088E+00   9.17569E-01   4.98241E-01   1.26597E+00
 1.37500E+00   2.54089E+00   9.17569E-01   4.98238E-01   1.26597E+00
 1.42500E+00   2.54090E+00   9.17569E-01   4.98234E-01   1.26596E+00
 1.47500E+00   2.54090E+00   9.17569E-01   4.98231E-01   1.26596E+00
 1.52500E+00   2.54091E+00   9.17569E-01   4.98228E-01   1.26595E+00
 1.57500E+00   2.54092E+00   9.17568E-01   4.98224E-01   1.26595E+00
 1.62500E+00   2.54093E+00   9.17568E-01   4.98221E-01   1.26594E+00
 1.67500E+00   2.54094E+00   9.17568E-01   4.98218E-01   1.26594E+00
 1.72500E+00   2.54094E+00   9.17568E-01   4.98215E-01   1.26594E+00
 1.77500E+00   2.54095E+00   9.17568E-01   4.98212E-01   1.26593E+00
 1.82500E+00   2.54096E+00   9.17567E-01   4.98209E-01   1.26593E+00
 1.87500E+00   2.54097E+00   9.17567E-01   4.98206E-01   1.26592E+00
 1.92500E+00   2.54098E+00   9.17567E-01   4.98202E-01   1.26592E+00
 1.97500E+00   2.54098E+00   9.17567E-01   4.98199E-01   1.26592E+00
 2.02500E+00   2.54099E+00   9.17567E-01   4.98196E-01   1.26591E+00
 2.07500E+00   2.54100E+00   9.17566E-01   4.98193E-01   1.26591E+00
 2.12500E+00   2.54101E+00   9.17566E-01   4.98190E-01   1.26590E+00
 2.17500E+00   2.54101E+00   9.17566E-01   4.98186E-01   1.26590E+00
 2.22500E+00   2.54102E+00   9.17566E-01   4.98183E-01   1.26589E+00
 2.27500E+00   2.54102E+00   9.17566E-01   4.98180E-01   1.26589E+00
 2.32500E+00   2.54103E+00   9.17566E-01   4.98177E-01   1.26588E+00
 2.37500E+00   2.54104E+00   9.17566E-01   4.98174E-01   1.26588E+00
 2.42500E+00   2.54104E+00   9.17566E-01   4.98171E-01   1.26587E+00
 2.47500E+00   2.54105E+00   9.17567E-01   4.98168E-01   1.26587E+00
 2.52500E+00   2.54106E+00   9.17567E-01   4.98165E-01   1.26586E+00
 2.57500E+00   2.54106E+00   9.17567E-01   4.98162E-01   1.26586E+00
 2.62500E+00   2.54107E+00   9.17568E-01   4.98159E-01   1.26586E+00
 2.67500E+00   2.54107E+00   9.17568E-01   4.98156E-01   1.26585E+00
 2.72500E+00   2.54108E+00   9.17569E-01   4.98153E-01   1.26585E+00
 2.77500E+00   2.54109E+00   9.17569E-01   4.98150E-01   1.26584E+00
 2.82500E+00   2.54109E+00   9.17570E-01   4.98147E-01   1.26584E+00
 2.87500E+00   2.54110E+00   9.17570E-01   4.98144E-01   1.26583E+00
 2.92500E+00   2.54110E+00   9.17570E-01   4.98141E-01   1.26583E+00
 2.97500E+00   2.54111E+00   9.17571E-01   4.98138E-01   1.26582E+00
 3.02500E+00   2.54111E+00   9.17571E-01   4.98135E-01   1.26582E+00
 3.07500E+00   2.54112E+00   9.17572E-01   4.98132E-01   1.26581E+00
 3.12500E+00   2.54112E+00   9.17572E-01   4.98129E-01   1.26581E+00
 3.17500E+00   2.54113E+00   9.17573E-01   4.98126E-01   1.26580E+00
 3.22500E+00   2.54113E+00   9.17573E-01   4.98123E-01   1.26580E+00
 3.27500E+00   2.54114E+00   9.17573E-01   4.98120E-01   1.26579E+00
 3.32500E+00   2.54114E+00   9.17574E-01   4.98118E-01   1.26579E+00
 3.37500E+00   2.54115E+00   9.17575E-01   4.98115E-01   1.26578E+00
 3.42500E+00   2.54115E+00   9.17575E-01   4.98113E-01   1.26578E+00
 3.47500E+00   2.54116E+00   9.17576E-01   4.98111E-01   1.26578E+00
 3.52500E+00   2.54116E+00   9.17577E-01   4.98108E-01   1.26577E+00
 3.57500E+00   2.54116E+00   9.17577E-01   4.98106E-01   1.26577E+00
 3.62500E+00   2.54116E+00   9.17578E-01   4.98105E-01   1.26576E+00
 3.67500E+00   2.54116E+00   9.17579E-01   4.98103E-01   1.26576E+00
 3.72500E+00   2.54116E+00   9.17579E-01   4.98101E-01   1.26576E+00
 3.77500E+00   2.54116E+00   9.17580E-01   4.98100E-01   1.26575E+00
 3.82500E+00   2.54116E+00   9.17581E-01   4.98098E-01   1.26575E+00
 3.87500E+00   2.54116E+00   9.17582E-01   4.98096E-01   1.26574E+00
 3.92500E+00   2.54116E+00   9.17583E-01   4.98094E-01   1.26574E+00
 3.97500E+00   2.54116E+00   9.17584E-01   4.98093E-01   1.26574E+00
 4.02500E+00   2.54116E+00   9.17584E-01   4.98091E-01   1.26573E+00
 4.07500E+00   2.54116E+00   9.17585E-01   4.98089E-01   1.26573E+00
 4.12500E+00   2.54116E+00   9.17587E-01   4.98088E-01   1.26572E+00
 4.17500E+00   2.54116E+00   9.17588E-01   4.98086E-01   1.26572E+00
 4.22500E+00   2.54116E+00   9.17589E-01   4.98084E-01   1.26571E+00
 4.27500E+00   2.54116E+00   9.17590E-01   4.98083E-01   1.26571E+00
 4.32500E+00   2.54116E+00   9.17591E-01   4.98081E-01   1.26571E+00
 4.37500E+00   2.54116E+00   9.17591E-01   4.98080E-01   1.26570E+00
 4.42500E+00   2.54116E+00   9.17592E-01   4.98078E-01   1.26570E+00
 4.47500E+00   2.54117E+00   9.17593E-01   4.98077E-01   1.26569E+00
 4.52500E+00   2.54116E+00   9.17594E-01   4.98075E-01   1.26569E+00
 4.57500E+00   2.54116E+00   9.17595E-01   4.98074E-01   1.26569E+00
 4.62500E+00   2.54116E+00   9.17596E-01   4.98072E-01   1.26568E+00
 4.67500E+00   2.54116E+00   9.17597E-01   4.98070E-01   1.26568E+00
 4.72500E+00   2.54116E+00   9.17598E-01   4.98069E-01   1.26568E+00
 4.77500E+00   2.54116E+00   9.17598E-01   4.98067E-01   1.26567E+00
 4.82500E+00   2.54116E+00   9.17599E-01   4.98065E-01   1.26567E+00
 4.87500E+00   2.54116E+00   9.17600E-01   4.98064E-01   1.26566E+00
 4.92500E+00   2.54116E+00   9.17601E-01   4.98062E-01   1.26566E+00
 4.97500E+00   2.54116E+00   9.17602E-01   4.98061E-01   1.26565E+00
 5.02500E+00   2.54116E+00   9.17603E-01   4.98060E-01   1.26565E+00
 5.07500E+00   2.54116E+00   9.17604E-01   4.98058E-01   1.26565E+00
 5.12500E+00   2.54116E+00   9.17604E-01   4.98057E-01   1.26564E+00
 5.17500E+00   2.54116E+00   9.17605E-01   4.98056E-01   1.26564E+00
 5.22500E+00   2.54116E+00   9.17606E-01   4.98054E-01   1.26564E+00
 5.27500E+00   2.54116E+00   9.17607E-01   4.98053E-01   1.26563E+00
 5.32500E+00   2.54116E+00   9.17607E-01   4.98052E-01   1.26563E+00
 5.37500E+00   2.54116E+00   9.17608E-01   4.98050E-01   1.26563E+00
 5.42500E+00   2.54116E+00   9.17609E-01   4.98049E-01   1.26562E+00
 5.47500E+00   2.54116E+00   9.17610E-01   4.98048E-01   1.26562E+00
 5.52500E+00   2.54116E+00   9.17611E-01   4.98046E-01   1.26562E+00
 5.57500E+00   2.54116E+00   9.17611E-01   4.98045E-01   1.26561E+00
 5.62500E+00   2.54116E+00   9.17612E-01   4.98044E-01   1.26561E+00
 5.67500E+00   2.54116E+00   9.17613E-01   4.98042E-01   1.26561E+00
 5.72500E+00   2.54116E+00   9.17614E-01   4.98041E-01   1.26560E+00
 5.77500E+00   2.54116E+00   9.17614E-01   4.98040E-01   1.26560E+00
 5.82500E+00   2.54116E+00   9.17615E-01   4.98039E-01   1.26560E+00
 5.87500E+00   2.54116E+00   9.17616E-01   4.98038E-01   1.26560E+00
 5.92500E+00   2.54116E+00   9.17616E-01   4.98037E-01   1.26559E+00
 5.97500E+00   2.54116E+00   9.17617E-01   4.98035E-01   1.26559E+00
 6.02500E+00   2.54116E+00   9.17618E-01   4.98034E-01   1.26559E+00
 6.07500E+00   2.54116E+00   9.17619E-01   4.98033E-01   1.26558E+00
 6.12500E+00   2.54116E+00   9.17619E-01   4.98032E-01   1.26558E+00
 6.17500E+00   2.54116E+00   9.17620E-01   4.98030E-01   1.26558E+00
 6.22500E+00   2.54116E+00   9.17620E-01   4.98029E-01   1.26557E+00
 6.27500E+00   2.54117E+00   9.17620E-01   4.98028E-01   1.26557E+00
 6.32500E+00   2.54117E+00   9.17620E-01   4.98027E-01   1.26557E+00
 6.37500E+00   2.54117E+00   9.17621E-01   4.98025E-01   1.26557E+00
 6.42500E+00   2.54117E+00   9.17621E-01   4.98024E-01   1.26556E+00
 6.47500E+00   2.54117E+00   9.17621E-01   4.98023E-01   1.26556E+00
 6.52500E+00   2.54117E+00   9.17621E-01   4.98022E-01   1.26556E+00
 6.57500E+00   2.54117E+00   9.17620E-01   4.98021E-01   1.26556E+00
 6.62500E+00   2.54117E+00   9.17620E-01   4.98020E-01   1.26555E+00
 6.67500E+00   2.54117E+00   9.17620E-01   4.98019E-01   1.26555E+00
 6.72500E+00   2.54117E+00   9.17620E-01   4.98018E-01   1.26555E+00
 6.77500E+00   2.54117E+00   9.17620E-01   4.98017E-01   1.26555E+00
 6.82500E+00   2.54118E+00   9.17620E-01   4.98015E-01   1.26554E+00
 6.87500E+00   2.54118E+00   9.17620E-01   4.98014E-01   1.26554E+00
 6.92500E+00   2.54118E+00   9.17620E-01   4.98013E-01   1.26554E+00
 6.97500E+00   2.54118E+00   9.17620E-01   4.98012E-01   1.26554E+00
 7.02500E+00   2.54118E+00   9.17620E-01   4.98011E-01   1.26553E+00
 7.07500E+00   2.54118E+00   9.17619E-01   4.98009E-01   1.26553E+00
 7.12500E+00   2.54118E+00   9.17619E-01   4.98008E-01   1.26553E+00
 7.17500E+00   2.54118E+00   9.17619E-01   4.98007E-01   1.26553E+00
 7.22500E+00   2.54119E+00   9.17619E-01   4.98006E-01   1.26553E+00
 7.27500E+00   2.54119E+00   9.17619E-01   4.98005E-01   1.26552E+00
 7.32500E+00   2.54119E+00   9.17619E-01   4.98004E-01   1.26552E+00
 7.37500E+00   2.54119E+00   9.17619E-01   4.98003E-01   1.26552E+00
 7.42500E+00   2.54119E+00   9.17619E-01   4.98002E-01   1.26552E+00
 7.47500E+00   2.54119E+00   9.17619E-01   4.98000E-01   1.26551E+00
 7.52500E+00   2.54119E+00   9.17618E-01   4.97999E-01   1.26551E+00
 7.57500E+00   2.54119E+00   9.17617E-01   4.97998E-01   1.26551E+00
 7.62500E+00   2.54120E+00   9.17617E-01   4.97997E-01   1.26551E+00
 7.67500E+00   2.54120E+00   9.17617E-01   4.97996E-01   1.26551E+00
 7.72500E+00   2.54120E+00   9.17616E-01   4.97994E-01   1.26550E+00
 7.77500E+00   2.54120E+00   9.17616E-01   4.97993E-01   1.26550E+00
 7.82500E+00   2.54120E+00   9.17616E-01   4.97992E-01   1.26550E+00
 7.87500E+00   2.54121E+00   9.17615E-01   4.97991E-01   1.26550E+00
 7.92500E+00   2.54121E+00   9.17615E-01   4.97990E-01   1.26550E+00
 7.97500E+00   2.54121E+00   9.17614E-01   4.97989E-01   1.26549E+00
