      xx/10.      ss_ratio
         [-]           [-]
 1.02500E+00   1.17475E+01
 1.07500E+00   1.17479E+01
 1.12500E+00   1.17481E+01
 1.17500E+00   1.17484E+01
 1.22500E+00   1.17485E+01
 1.27500E+00   1.17487E+01
 1.32500E+00   1.17489E+01
 1.37500E+00   1.17491E+01
 1.42500E+00   1.17492E+01
 1.47500E+00   1.17495E+01
 1.52500E+00   1.17496E+01
 1.57500E+00   1.17497E+01
 1.62500E+00   1.17498E+01
 1.67500E+00   1.17500E+01
 1.72500E+00   1.17501E+01
 1.77500E+00   1.17503E+01
 1.82500E+00   1.17504E+01
 1.87500E+00   1.17505E+01
 1.92500E+00   1.17507E+01
 1.97500E+00   1.17509E+01
 2.02500E+00   1.17512E+01
 2.07500E+00   1.17514E+01
 2.12500E+00   1.17515E+01
 2.17500E+00   1.17517E+01
 2.22500E+00   1.17519E+01
 2.27500E+00   1.17520E+01
 2.32500E+00   1.17523E+01
 2.37500E+00   1.17525E+01
 2.42500E+00   1.17527E+01
 2.47500E+00   1.17529E+01
 2.52500E+00   1.17531E+01
 2.57500E+00   1.17532E+01
 2.62500E+00   1.17534E+01
 2.67500E+00   1.17535E+01
 2.72500E+00   1.17538E+01
 2.77500E+00   1.17540E+01
 2.82500E+00   1.17541E+01
 2.87500E+00   1.17543E+01
 2.92500E+00   1.17544E+01
 2.97500E+00   1.17546E+01
 3.02500E+00   1.17548E+01
 3.07500E+00   1.17549E+01
 3.12500E+00   1.17552E+01
 3.17500E+00   1.17554E+01
 3.22500E+00   1.17556E+01
 3.27500E+00   1.17558E+01
 3.32500E+00   1.17560E+01
 3.37500E+00   1.17562E+01
 3.42500E+00   1.17564E+01
 3.47500E+00   1.17566E+01
 3.52500E+00   1.17568E+01
 3.57500E+00   1.17571E+01
 3.62500E+00   1.17572E+01
 3.67500E+00   1.17575E+01
 3.72500E+00   1.17577E+01
 3.77500E+00   1.17580E+01
 3.82500E+00   1.17583E+01
 3.87500E+00   1.17585E+01
 3.92500E+00   1.17587E+01
 3.97500E+00   1.17589E+01
 4.02500E+00   1.17591E+01
 4.07500E+00   1.17592E+01
 4.12500E+00   1.17595E+01
 4.17500E+00   1.17597E+01
 4.22500E+00   1.17599E+01
 4.27500E+00   1.17602E+01
 4.32500E+00   1.17604E+01
 4.37500E+00   1.17607E+01
 4.42500E+00   1.17609E+01
 4.47500E+00   1.17612E+01
 4.52500E+00   1.17615E+01
 4.57500E+00   1.17617E+01
 4.62500E+00   1.17619E+01
 4.67500E+00   1.17621E+01
 4.72500E+00   1.17624E+01
 4.77500E+00   1.17626E+01
 4.82500E+00   1.17629E+01
 4.87500E+00   1.17632E+01
 4.92500E+00   1.17634E+01
 4.97500E+00   1.17637E+01
 5.02500E+00   1.17640E+01
 5.07500E+00   1.17642E+01
 5.12500E+00   1.17645E+01
 5.17500E+00   1.17648E+01
 5.22500E+00   1.17651E+01
 5.27500E+00   1.17654E+01
 5.32500E+00   1.17655E+01
 5.37500E+00   1.17659E+01
 5.42500E+00   1.17662E+01
 5.47500E+00   1.17665E+01
 5.52500E+00   1.17667E+01
 5.57500E+00   1.17670E+01
 5.62500E+00   1.17672E+01
 5.67500E+00   1.17675E+01
 5.72500E+00   1.17678E+01
 5.77500E+00   1.17681E+01
 5.82500E+00   1.17684E+01
 5.87500E+00   1.17687E+01
 5.92500E+00   1.17690E+01
 5.97500E+00   1.17692E+01
 6.02500E+00   1.17695E+01
 6.07500E+00   1.17697E+01
 6.12500E+00   1.17700E+01
 6.17500E+00   1.17703E+01
 6.22500E+00   1.17705E+01
 6.27500E+00   1.17708E+01
 6.32500E+00   1.17711E+01
 6.37500E+00   1.17714E+01
 6.42500E+00   1.17716E+01
 6.47500E+00   1.17719E+01
 6.52500E+00   1.17722E+01
 6.57500E+00   1.17725E+01
 6.62500E+00   1.17727E+01
 6.67500E+00   1.17730E+01
 6.72500E+00   1.17733E+01
 6.77500E+00   1.17736E+01
 6.82500E+00   1.17739E+01
 6.87500E+00   1.17742E+01
 6.92500E+00   1.17744E+01
 6.97500E+00   1.17747E+01
 7.02500E+00   1.17749E+01
 7.07500E+00   1.17751E+01
 7.12500E+00   1.17753E+01
 7.17500E+00   1.17755E+01
 7.22500E+00   1.17758E+01
 7.27500E+00   1.17760E+01
 7.32500E+00   1.17763E+01
 7.37500E+00   1.17765E+01
 7.42500E+00   1.17768E+01
 7.47500E+00   1.17770E+01
 7.52500E+00   1.17773E+01
 7.57500E+00   1.17774E+01
 7.62500E+00   1.17776E+01
 7.67500E+00   1.17778E+01
 7.72500E+00   1.17780E+01
 7.77500E+00   1.17782E+01
 7.82500E+00   1.17784E+01
 7.87500E+00   1.17787E+01
 7.92500E+00   1.17789E+01
 7.97500E+00   1.17791E+01
 8.02500E+00   1.17793E+01
 8.07500E+00   1.17795E+01
 8.12500E+00   1.17797E+01
 8.17500E+00   1.17800E+01
 8.22500E+00   1.17803E+01
 8.27500E+00   1.17805E+01
 8.32500E+00   1.17808E+01
 8.37500E+00   1.17810E+01
 8.42500E+00   1.17812E+01
 8.47500E+00   1.17815E+01
 8.52500E+00   1.17817E+01
 8.57500E+00   1.17819E+01
 8.62500E+00   1.17820E+01
 8.67500E+00   1.17822E+01
 8.72500E+00   1.17824E+01
 8.77500E+00   1.17826E+01
 8.82500E+00   1.17829E+01
 8.87500E+00   1.17831E+01
 8.92500E+00   1.17834E+01
 8.97500E+00   1.17836E+01
 9.02500E+00   1.17838E+01
 9.07500E+00   1.17841E+01
 9.12500E+00   1.17844E+01
 9.17500E+00   1.17846E+01
 9.22500E+00   1.17848E+01
 9.27500E+00   1.17850E+01
 9.32500E+00   1.17853E+01
 9.37500E+00   1.17854E+01
 9.42500E+00   1.17856E+01
 9.47500E+00   1.17857E+01
 9.52500E+00   1.17859E+01
 9.57500E+00   1.17861E+01
 9.62500E+00   1.17863E+01
 9.67500E+00   1.17866E+01
 9.72500E+00   1.17868E+01
 9.77500E+00   1.17870E+01
 9.82500E+00   1.17873E+01
 9.87500E+00   1.17876E+01
 9.92500E+00   1.17879E+01
 9.97500E+00   1.17882E+01
 1.00250E+01   1.17884E+01
 1.00750E+01   1.17887E+01
 1.01250E+01   1.17890E+01
 1.01750E+01   1.17892E+01
 1.02250E+01   1.17895E+01
 1.02750E+01   1.17899E+01
 1.03250E+01   1.17902E+01
 1.03750E+01   1.17905E+01
 1.04250E+01   1.17907E+01
 1.04750E+01   1.17909E+01
 1.05250E+01   1.17912E+01
 1.05750E+01   1.17915E+01
 1.06250E+01   1.17918E+01
 1.06750E+01   1.17921E+01
 1.07250E+01   1.17923E+01
 1.07750E+01   1.17926E+01
 1.08250E+01   1.17929E+01
 1.08750E+01   1.17931E+01
 1.09250E+01   1.17934E+01
 1.09750E+01   1.17936E+01
 1.10250E+01   1.17939E+01
 1.10750E+01   1.17941E+01
 1.11250E+01   1.17944E+01
 1.11750E+01   1.17947E+01
 1.12250E+01   1.17950E+01
 1.12750E+01   1.17953E+01
 1.13250E+01   1.17956E+01
 1.13750E+01   1.17958E+01
 1.14250E+01   1.17961E+01
 1.14750E+01   1.17963E+01
 1.15250E+01   1.17965E+01
 1.15750E+01   1.17968E+01
 1.16250E+01   1.17970E+01
 1.16750E+01   1.17972E+01
 1.17250E+01   1.17974E+01
 1.17750E+01   1.17976E+01
 1.18250E+01   1.17978E+01
 1.18750E+01   1.17980E+01
 1.19250E+01   1.17982E+01
 1.19750E+01   1.17983E+01
 1.20250E+01   1.17985E+01
 1.20750E+01   1.17988E+01
 1.21250E+01   1.17990E+01
 1.21750E+01   1.17992E+01
 1.22250E+01   1.17994E+01
 1.22750E+01   1.17997E+01
 1.23250E+01   1.17999E+01
 1.23750E+01   1.18002E+01
 1.24250E+01   1.18004E+01
 1.24750E+01   1.18005E+01
 1.25250E+01   1.18007E+01
 1.25750E+01   1.18010E+01
 1.26250E+01   1.18011E+01
 1.26750E+01   1.18013E+01
 1.27250E+01   1.18015E+01
 1.27750E+01   1.18016E+01
 1.28250E+01   1.18018E+01
 1.28750E+01   1.18020E+01
 1.29250E+01   1.18023E+01
 1.29750E+01   1.18025E+01
 1.30250E+01   1.18027E+01
 1.30750E+01   1.18030E+01
 1.31250E+01   1.18032E+01
 1.31750E+01   1.18034E+01
 1.32250E+01   1.18036E+01
 1.32750E+01   1.18039E+01
 1.33250E+01   1.18041E+01
 1.33750E+01   1.18043E+01
 1.34250E+01   1.18046E+01
 1.34750E+01   1.18047E+01
 1.35250E+01   1.18049E+01
 1.35750E+01   1.18051E+01
 1.36250E+01   1.18053E+01
 1.36750E+01   1.18055E+01
 1.37250E+01   1.18057E+01
 1.37750E+01   1.18060E+01
 1.38250E+01   1.18061E+01
 1.38750E+01   1.18063E+01
 1.39250E+01   1.18064E+01
 1.39750E+01   1.18066E+01
 1.40250E+01   1.18068E+01
 1.40750E+01   1.18070E+01
 1.41250E+01   1.18073E+01
 1.41750E+01   1.18075E+01
 1.42250E+01   1.18077E+01
 1.42750E+01   1.18078E+01
 1.43250E+01   1.18080E+01
 1.43750E+01   1.18082E+01
 1.44250E+01   1.18085E+01
 1.44750E+01   1.18087E+01
 1.45250E+01   1.18090E+01
 1.45750E+01   1.18093E+01
 1.46250E+01   1.18095E+01
 1.46750E+01   1.18097E+01
 1.47250E+01   1.18100E+01
 1.47750E+01   1.18102E+01
 1.48250E+01   1.18104E+01
 1.48750E+01   1.18107E+01
 1.49250E+01   1.18110E+01
 1.49750E+01   1.18113E+01
 1.50250E+01   1.18115E+01
 1.50750E+01   1.18117E+01
 1.51250E+01   1.18118E+01
 1.51750E+01   1.18120E+01
 1.52250E+01   1.18122E+01
 1.52750E+01   1.18124E+01
 1.53250E+01   1.18126E+01
 1.53750E+01   1.18128E+01
 1.54250E+01   1.18131E+01
 1.54750E+01   1.18133E+01
 1.55250E+01   1.18136E+01
 1.55750E+01   1.18138E+01
 1.56250E+01   1.18140E+01
 1.56750E+01   1.18142E+01
