      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 2.57500E+00   8.39728E+13  -1.39909E+05   9.91131E-04  -5.42457E-09  -1.66612E-09
 2.62500E+00   3.88919E+13  -7.39658E+04   5.35649E-04  -7.40913E-09  -1.90183E-09
 2.67500E+00   1.76719E+13  -3.78973E+04   2.89645E-04  -6.22142E-09  -2.14450E-09
 2.72500E+00   7.87852E+12  -1.86355E+04   1.54338E-04  -4.39568E-09  -2.36536E-09
 2.77500E+00   3.44738E+12  -8.72648E+03   7.96609E-05  -2.79625E-09  -2.53134E-09
 2.82500E+00   1.48220E+12  -3.85033E+03   3.90058E-05  -1.63162E-09  -2.59771E-09
 2.87500E+00   6.21638E+11  -1.47928E+03   1.75686E-05  -8.75405E-10  -2.37964E-09
 2.92500E+00   2.43051E+11  -4.07756E+02   7.00401E-06  -4.32278E-10  -1.67766E-09
 2.97500E+00   8.77940E+09  -3.19097E+01   2.54489E-06  -1.99517E-10  -3.63460E-09
 3.02500E+00   6.21165E+02  -1.44702E+01   9.34398E-07  -8.82602E-11  -2.32953E-02
 3.07500E+00   2.95770E+02  -5.72210E+00   3.46035E-07  -3.82408E-11  -1.93464E-02
 3.12500E+00   2.55708E+02  -2.19715E+00   1.29991E-07  -1.65126E-11  -8.59243E-03
 3.17500E+00   1.43646E+02  -8.65412E-01   4.95072E-08  -7.24159E-12  -6.02463E-03
 3.22500E+00   7.81957E+01  -3.34505E-01   1.90153E-08  -3.31796E-12  -4.27780E-03
 3.27500E+00   4.97624E+01  -1.26219E-01   7.37417E-09  -1.65660E-12  -2.53643E-03
 3.32500E+00   3.71786E+01  -4.64699E-02   2.92847E-09  -9.40965E-13  -1.24991E-03
 3.37500E+00   2.98065E+01  -1.67829E-02   1.23493E-09  -6.15826E-13  -5.63063E-04
 3.42500E+00   2.43114E+01  -6.05922E-03   5.85593E-10  -4.50423E-13  -2.49234E-04
 3.47500E+00   1.97962E+01  -2.28016E-03   3.26948E-10  -3.50955E-13  -1.15182E-04
 3.52500E+00   1.59922E+01  -9.58782E-04   2.12977E-10  -2.80449E-13  -5.99533E-05
 3.57500E+00   1.27889E+01  -4.81733E-04   1.53265E-10  -2.24850E-13  -3.76682E-05
 3.62500E+00   1.01159E+01  -2.90138E-04   1.15425E-10  -1.78939E-13  -2.86812E-05
 3.67500E+00   7.91206E+00  -1.97000E-04   8.80265E-11  -1.40681E-13  -2.48986E-05
 3.72500E+00   6.11812E+00  -1.41287E-04   6.69193E-11  -1.09056E-13  -2.30933E-05
 3.77500E+00   4.67689E+00  -1.02977E-04   5.03769E-11  -8.33005E-14  -2.20183E-05
 3.82500E+00   3.53415E+00  -7.49503E-05   3.74568E-11  -6.26842E-14  -2.12075E-05
