      xx/10.      ss_ratio
         [-]           [-]
 1.02500E+00   2.88381E+01
 1.07500E+00   2.88387E+01
 1.12500E+00   2.88392E+01
 1.17500E+00   2.88397E+01
 1.22500E+00   2.88402E+01
 1.27500E+00   2.88405E+01
 1.32500E+00   2.88408E+01
 1.37500E+00   2.88410E+01
 1.42500E+00   2.88413E+01
 1.47500E+00   2.88416E+01
 1.52500E+00   2.88422E+01
 1.57500E+00   2.88426E+01
 1.62500E+00   2.88431E+01
 1.67500E+00   2.88437E+01
 1.72500E+00   2.88443E+01
 1.77500E+00   2.88447E+01
 1.82500E+00   2.88453E+01
 1.87500E+00   2.88459E+01
 1.92500E+00   2.88463E+01
 1.97500E+00   2.88467E+01
 2.02500E+00   2.88470E+01
 2.07500E+00   2.88475E+01
 2.12500E+00   2.88480E+01
 2.17500E+00   2.88483E+01
 2.22500E+00   2.88488E+01
 2.27500E+00   2.88492E+01
 2.32500E+00   2.88496E+01
 2.37500E+00   2.88499E+01
 2.42500E+00   2.88504E+01
 2.47500E+00   2.88507E+01
 2.52500E+00   2.88512E+01
 2.57500E+00   2.88516E+01
 2.62500E+00   2.88520E+01
 2.67500E+00   2.88523E+01
 2.72500E+00   2.88528E+01
 2.77500E+00   2.88531E+01
 2.82500E+00   2.88535E+01
 2.87500E+00   2.88540E+01
 2.92500E+00   2.88546E+01
 2.97500E+00   2.88552E+01
 3.02500E+00   2.88557E+01
 3.07500E+00   2.88563E+01
 3.12500E+00   2.88571E+01
 3.17500E+00   2.88577E+01
 3.22500E+00   2.88581E+01
 3.27500E+00   2.88587E+01
 3.32500E+00   2.88592E+01
 3.37500E+00   2.88600E+01
 3.42500E+00   2.88605E+01
 3.47500E+00   2.88612E+01
 3.52500E+00   2.88616E+01
 3.57500E+00   2.88621E+01
 3.62500E+00   2.88626E+01
 3.67500E+00   2.88629E+01
 3.72500E+00   2.88634E+01
 3.77500E+00   2.88640E+01
 3.82500E+00   2.88644E+01
 3.87500E+00   2.88649E+01
 3.92500E+00   2.88654E+01
 3.97500E+00   2.88658E+01
 4.02500E+00   2.88663E+01
 4.07500E+00   2.88668E+01
 4.12500E+00   2.88673E+01
 4.17500E+00   2.88680E+01
 4.22500E+00   2.88687E+01
 4.27500E+00   2.88693E+01
 4.32500E+00   2.88699E+01
 4.37500E+00   2.88706E+01
 4.42500E+00   2.88714E+01
 4.47500E+00   2.88720E+01
 4.52500E+00   2.88728E+01
 4.57500E+00   2.88734E+01
 4.62500E+00   2.88742E+01
 4.67500E+00   2.88749E+01
 4.72500E+00   2.88754E+01
 4.77500E+00   2.88761E+01
 4.82500E+00   2.88766E+01
 4.87500E+00   2.88771E+01
 4.92500E+00   2.88776E+01
 4.97500E+00   2.88782E+01
 5.02500E+00   2.88789E+01
 5.07500E+00   2.88795E+01
 5.12500E+00   2.88800E+01
 5.17500E+00   2.88806E+01
 5.22500E+00   2.88810E+01
 5.27500E+00   2.88812E+01
 5.32500E+00   2.88815E+01
 5.37500E+00   2.88818E+01
 5.42500E+00   2.88822E+01
 5.47500E+00   2.88825E+01
 5.52500E+00   2.88829E+01
 5.57500E+00   2.88832E+01
 5.62500E+00   2.88835E+01
 5.67500E+00   2.88839E+01
 5.72500E+00   2.88842E+01
 5.77500E+00   2.88846E+01
 5.82500E+00   2.88850E+01
 5.87500E+00   2.88854E+01
 5.92500E+00   2.88858E+01
 5.97500E+00   2.88860E+01
 6.02500E+00   2.88863E+01
 6.07500E+00   2.88867E+01
 6.12500E+00   2.88872E+01
 6.17500E+00   2.88875E+01
 6.22500E+00   2.88879E+01
 6.27500E+00   2.88883E+01
 6.32500E+00   2.88887E+01
 6.37500E+00   2.88890E+01
 6.42500E+00   2.88892E+01
 6.47500E+00   2.88896E+01
 6.52500E+00   2.88900E+01
 6.57500E+00   2.88904E+01
 6.62500E+00   2.88906E+01
 6.67500E+00   2.88910E+01
 6.72500E+00   2.88913E+01
 6.77500E+00   2.88915E+01
 6.82500E+00   2.88919E+01
 6.87500E+00   2.88923E+01
 6.92500E+00   2.88925E+01
 6.97500E+00   2.88927E+01
 7.02500E+00   2.88929E+01
 7.07500E+00   2.88931E+01
 7.12500E+00   2.88934E+01
 7.17500E+00   2.88937E+01
 7.22500E+00   2.88940E+01
 7.27500E+00   2.88942E+01
 7.32500E+00   2.88945E+01
 7.37500E+00   2.88948E+01
 7.42500E+00   2.88950E+01
 7.47500E+00   2.88953E+01
 7.52500E+00   2.88955E+01
 7.57500E+00   2.88958E+01
 7.62500E+00   2.88959E+01
 7.67500E+00   2.88962E+01
 7.72500E+00   2.88965E+01
 7.77500E+00   2.88966E+01
 7.82500E+00   2.88969E+01
 7.87500E+00   2.88972E+01
 7.92500E+00   2.88973E+01
 7.97500E+00   2.88976E+01
 8.02500E+00   2.88979E+01
 8.07500E+00   2.88982E+01
 8.12500E+00   2.88985E+01
 8.17500E+00   2.88986E+01
 8.22500E+00   2.88988E+01
 8.27500E+00   2.88992E+01
 8.32500E+00   2.88996E+01
 8.37500E+00   2.88999E+01
 8.42500E+00   2.89002E+01
 8.47500E+00   2.89006E+01
 8.52500E+00   2.89009E+01
 8.57500E+00   2.89013E+01
 8.62500E+00   2.89015E+01
 8.67500E+00   2.89017E+01
 8.72500E+00   2.89020E+01
 8.77500E+00   2.89024E+01
 8.82500E+00   2.89027E+01
 8.87500E+00   2.89029E+01
 8.92500E+00   2.89032E+01
 8.97500E+00   2.89035E+01
 9.02500E+00   2.89038E+01
 9.07500E+00   2.89039E+01
 9.12500E+00   2.89042E+01
 9.17500E+00   2.89045E+01
 9.22500E+00   2.89046E+01
 9.27500E+00   2.89048E+01
 9.32500E+00   2.89051E+01
 9.37500E+00   2.89053E+01
 9.42500E+00   2.89056E+01
 9.47500E+00   2.89057E+01
 9.52500E+00   2.89060E+01
 9.57500E+00   2.89062E+01
 9.62500E+00   2.89063E+01
 9.67500E+00   2.89064E+01
 9.72500E+00   2.89067E+01
 9.77500E+00   2.89067E+01
 9.82500E+00   2.89069E+01
 9.87500E+00   2.89069E+01
 9.92500E+00   2.89072E+01
 9.97500E+00   2.89073E+01
 1.00250E+01   2.89074E+01
 1.00750E+01   2.89075E+01
 1.01250E+01   2.89076E+01
 1.01750E+01   2.89077E+01
 1.02250E+01   2.89079E+01
 1.02750E+01   2.89081E+01
 1.03250E+01   2.89083E+01
 1.03750E+01   2.89083E+01
 1.04250E+01   2.89084E+01
 1.04750E+01   2.89086E+01
 1.05250E+01   2.89088E+01
 1.05750E+01   2.89090E+01
 1.06250E+01   2.89092E+01
 1.06750E+01   2.89090E+01
 1.07250E+01   2.89089E+01
 1.07750E+01   2.89090E+01
 1.08250E+01   2.89089E+01
 1.08750E+01   2.89088E+01
 1.09250E+01   2.89088E+01
 1.09750E+01   2.89087E+01
 1.10250E+01   2.89085E+01
 1.10750E+01   2.89083E+01
 1.11250E+01   2.89079E+01
 1.11750E+01   2.89074E+01
 1.12250E+01   2.89071E+01
 1.12750E+01   2.89067E+01
 1.13250E+01   2.89062E+01
 1.13750E+01   2.89056E+01
 1.14250E+01   2.89049E+01
 1.14750E+01   2.89044E+01
 1.15250E+01   2.89036E+01
 1.15750E+01   2.89029E+01
 1.16250E+01   2.89022E+01
 1.16750E+01   2.89012E+01
 1.17250E+01   2.89001E+01
 1.17750E+01   2.88991E+01
 1.18250E+01   2.88980E+01
 1.18750E+01   2.88966E+01
 1.19250E+01   2.88950E+01
 1.19750E+01   2.88934E+01
 1.20250E+01   2.88916E+01
 1.20750E+01   2.88897E+01
 1.21250E+01   2.88876E+01
 1.21750E+01   2.88854E+01
 1.22250E+01   2.88830E+01
 1.22750E+01   2.88804E+01
 1.23250E+01   2.88778E+01
 1.23750E+01   2.88751E+01
 1.24250E+01   2.88719E+01
 1.24750E+01   2.88685E+01
 1.25250E+01   2.88649E+01
 1.25750E+01   2.88611E+01
 1.26250E+01   2.88571E+01
 1.26750E+01   2.88527E+01
 1.27250E+01   2.88483E+01
 1.27750E+01   2.88435E+01
 1.28250E+01   2.88384E+01
 1.28750E+01   2.88328E+01
 1.29250E+01   2.88270E+01
 1.29750E+01   2.88206E+01
 1.30250E+01   2.88140E+01
 1.30750E+01   2.88070E+01
 1.31250E+01   2.87993E+01
 1.31750E+01   2.87912E+01
 1.32250E+01   2.87829E+01
 1.32750E+01   2.87739E+01
 1.33250E+01   2.87645E+01
 1.33750E+01   2.87545E+01
 1.34250E+01   2.87440E+01
 1.34750E+01   2.87329E+01
 1.35250E+01   2.87212E+01
 1.35750E+01   2.87088E+01
 1.36250E+01   2.86956E+01
 1.36750E+01   2.86816E+01
 1.37250E+01   2.86670E+01
 1.37750E+01   2.86516E+01
 1.38250E+01   2.86354E+01
 1.38750E+01   2.86183E+01
 1.39250E+01   2.86004E+01
 1.39750E+01   2.85814E+01
 1.40250E+01   2.85615E+01
 1.40750E+01   2.85406E+01
 1.41250E+01   2.85185E+01
 1.41750E+01   2.84952E+01
 1.42250E+01   2.84709E+01
 1.42750E+01   2.84453E+01
 1.43250E+01   2.84184E+01
 1.43750E+01   2.83903E+01
 1.44250E+01   2.83608E+01
 1.44750E+01   2.83298E+01
 1.45250E+01   2.82972E+01
 1.45750E+01   2.82632E+01
 1.46250E+01   2.82278E+01
 1.46750E+01   2.81906E+01
 1.47250E+01   2.81516E+01
 1.47750E+01   2.81110E+01
 1.48250E+01   2.80686E+01
 1.48750E+01   2.80243E+01
 1.49250E+01   2.79782E+01
 1.49750E+01   2.79301E+01
 1.50250E+01   2.78799E+01
 1.50750E+01   2.78279E+01
 1.51250E+01   2.77737E+01
 1.51750E+01   2.77175E+01
 1.52250E+01   2.76591E+01
 1.52750E+01   2.75985E+01
 1.53250E+01   2.75357E+01
 1.53750E+01   2.74704E+01
 1.54250E+01   2.74029E+01
 1.54750E+01   2.73330E+01
 1.55250E+01   2.72608E+01
 1.55750E+01   2.71862E+01
 1.56250E+01   2.71092E+01
 1.56750E+01   2.70300E+01
 1.57250E+01   2.69483E+01
 1.57750E+01   2.68640E+01
 1.58250E+01   2.67774E+01
 1.58750E+01   2.66886E+01
 1.59250E+01   2.65974E+01
 1.59750E+01   2.65040E+01
 1.60250E+01   2.64082E+01
 1.60750E+01   2.63102E+01
 1.61250E+01   2.62099E+01
 1.61750E+01   2.61077E+01
 1.62250E+01   2.60034E+01
 1.62750E+01   2.58972E+01
 1.63250E+01   2.57890E+01
 1.63750E+01   2.56790E+01
 1.64250E+01   2.55673E+01
 1.64750E+01   2.54541E+01
 1.65250E+01   2.53395E+01
 1.65750E+01   2.52233E+01
 1.66250E+01   2.51060E+01
 1.66750E+01   2.49876E+01
 1.67250E+01   2.48682E+01
 1.67750E+01   2.47480E+01
 1.68250E+01   2.46271E+01
 1.68750E+01   2.45054E+01
 1.69250E+01   2.43836E+01
 1.69750E+01   2.42615E+01
 1.70250E+01   2.41394E+01
 1.70750E+01   2.40174E+01
 1.71250E+01   2.38955E+01
 1.71750E+01   2.37739E+01
 1.72250E+01   2.36531E+01
 1.72750E+01   2.35328E+01
 1.73250E+01   2.34133E+01
 1.73750E+01   2.32946E+01
 1.74250E+01   2.31772E+01
 1.74750E+01   2.30608E+01
 1.75250E+01   2.29458E+01
 1.75750E+01   2.28322E+01
 1.76250E+01   2.27202E+01
 1.76750E+01   2.26099E+01
 1.77250E+01   2.25012E+01
 1.77750E+01   2.23943E+01
 1.78250E+01   2.22895E+01
 1.78750E+01   2.21867E+01
 1.79250E+01   2.20859E+01
 1.79750E+01   2.19873E+01
 1.80250E+01   2.18908E+01
 1.80750E+01   2.17967E+01
 1.81250E+01   2.17047E+01
 1.81750E+01   2.16149E+01
 1.82250E+01   2.15275E+01
 1.82750E+01   2.14425E+01
 1.83250E+01   2.13599E+01
 1.83750E+01   2.12796E+01
 1.84250E+01   2.12017E+01
 1.84750E+01   2.11261E+01
 1.85250E+01   2.10527E+01
 1.85750E+01   2.09818E+01
 1.86250E+01   2.09132E+01
 1.86750E+01   2.08470E+01
 1.87250E+01   2.07830E+01
 1.87750E+01   2.07212E+01
 1.88250E+01   2.06615E+01
 1.88750E+01   2.06040E+01
 1.89250E+01   2.05487E+01
 1.89750E+01   2.04953E+01
 1.90250E+01   2.04439E+01
 1.90750E+01   2.03945E+01
 1.91250E+01   2.03471E+01
 1.91750E+01   2.03014E+01
 1.92250E+01   2.02578E+01
