
   time:  710.991 dt:   0.08889 mass:   2.305
      X         N         T         U         P        Q         JM
   0.0250   2.69693   0.93008   0.48776   2.50837   0.08089   1.31547
   0.0750   2.50387   0.90557   0.54114   2.26742   0.05094   1.35495
   0.1250   2.40218   0.89264   0.57134   2.14427   0.03091   1.37247
   0.1750   2.34418   0.88512   0.58918   2.07488   0.01887   1.38113
   0.2250   2.30943   0.88053   0.60005   2.03352   0.01167   1.38578
   0.2750   2.28796   0.87765   0.60684   2.00802   0.00729   1.38842
   0.3250   2.27439   0.87581   0.61116   1.99194   0.00455   1.39001
   0.3750   2.26570   0.87463   0.61393   1.98165   0.00281   1.39098
   0.4250   2.26007   0.87388   0.61574   1.97502   0.00165   1.39160
   0.4750   2.25639   0.87338   0.61692   1.97069   0.00089   1.39200
   0.5250   2.25398   0.87307   0.61769   1.96788   0.00038   1.39226
   0.5750   2.25239   0.87286   0.61820   1.96603   0.00002   1.39243
   0.6250   2.25135   0.87273   0.61854   1.96481   0.00021   1.39254
   0.6750   2.25065   0.87264   0.61876   1.96401   0.00037   1.39262
   0.7250   2.25019   0.87259   0.61891   1.96349   0.00049   1.39266
   0.7750   2.24988   0.87255   0.61901   1.96314   0.00057   1.39270
   0.8250   2.24967   0.87253   0.61908   1.96291   0.00062   1.39272
   0.8750   2.24955   0.87251   0.61912   1.96275   0.00065   1.39274
   0.9250   2.24946   0.87250   0.61915   1.96265   0.00067   1.39274
   0.9750   2.24941   0.87249   0.61916   1.96258   0.00068   1.39275
