
   time:  533.257 dt:   0.08889 mass:   2.323
      X         N         T         U         P        Q         JM
   0.0250   2.70718   0.93161   0.48348   2.52204   0.07911   1.30886
   0.0750   2.51649   0.90758   0.53568   2.28390   0.04939   1.34803
   0.1250   2.41656   0.89500   0.56499   2.16282   0.02967   1.36532
   0.1750   2.35992   0.88775   0.58215   2.09502   0.01791   1.37383
   0.2250   2.32622   0.88335   0.59253   2.05487   0.01095   1.37836
   0.2750   2.30554   0.88061   0.59896   2.03029   0.00675   1.38092
   0.3250   2.29258   0.87888   0.60301   2.01491   0.00415   1.38245
   0.3750   2.28434   0.87779   0.60559   2.00516   0.00249   1.38338
   0.4250   2.27904   0.87708   0.60725   1.99891   0.00143   1.38396
   0.4750   2.27562   0.87663   0.60833   1.99488   0.00072   1.38433
   0.5250   2.27339   0.87635   0.60903   1.99228   0.00023   1.38456
   0.5750   2.27194   0.87617   0.60949   1.99059   0.00008   1.38471
   0.6250   2.27098   0.87605   0.60978   1.98950   0.00031   1.38480
   0.6750   2.27036   0.87598   0.60998   1.98879   0.00045   1.38486
   0.7250   2.26995   0.87594   0.61010   1.98833   0.00056   1.38490
   0.7750   2.26968   0.87591   0.61018   1.98804   0.00063   1.38492
   0.8250   2.26950   0.87590   0.61024   1.98785   0.00069   1.38493
   0.8750   2.26938   0.87589   0.61027   1.98773   0.00073   1.38493
   0.9250   2.26929   0.87589   0.61029   1.98765   0.00077   1.38493
   0.9750   2.26921   0.87590   0.61031   1.98761   0.00082   1.38493
