      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 1.02500E+00   1.56129E+16   5.99571E+07   9.97135E-01   8.95043E-05   1.11187E-08
 1.07500E+00   2.43247E+16   8.88793E+07   1.68958E+00   1.54022E-04   1.14934E-08
 1.12500E+00   3.43808E+16   1.05558E+08   2.66816E+00   2.47951E-04   1.20029E-08
 1.17500E+00   4.59153E+16   1.65413E+08   4.06104E+00   3.80706E-04   1.25742E-08
 1.22500E+00   5.90946E+16   2.56369E+08   5.99423E+00   5.63395E-04   1.31732E-08
 1.27500E+00   7.40836E+16   3.80887E+08   8.60349E+00   8.08565E-04   1.37805E-08
 1.32500E+00   9.10087E+16   5.44885E+08   1.20330E+01   1.12980E-03   1.43849E-08
 1.37500E+00   1.09928E+17   7.55152E+08   1.64296E+01   1.54112E-03   1.49800E-08
 1.42500E+00   1.30819E+17   1.01847E+09   2.19350E+01   2.05617E-03   1.55620E-08
 1.47500E+00   1.53582E+17   1.34109E+09   2.86760E+01   2.68732E-03   1.61285E-08
 1.52500E+00   1.78050E+17   1.72821E+09   3.67543E+01   3.44451E-03   1.66775E-08
 1.57500E+00   2.04003E+17   2.18355E+09   4.62358E+01   4.33424E-03   1.72065E-08
 1.62500E+00   2.31178E+17   2.70893E+09   5.71408E+01   5.35849E-03   1.77133E-08
 1.67500E+00   2.59274E+17   3.30384E+09   6.94359E+01   6.51392E-03   1.81954E-08
 1.72500E+00   2.87962E+17   3.96505E+09   8.30291E+01   7.79135E-03   1.86506E-08
 1.77500E+00   3.16894E+17   4.68640E+09   9.77679E+01   9.17570E-03   1.90770E-08
 1.82500E+00   3.45709E+17   5.45871E+09   1.13443E+02   1.06464E-02   1.94730E-08
 1.87500E+00   3.74044E+17   6.27007E+09   1.29797E+02   1.21784E-02   1.98377E-08
 1.92500E+00   4.01541E+17   7.10649E+09   1.46536E+02   1.37435E-02   2.01708E-08
 1.97500E+00   4.27856E+17   7.95270E+09   1.63349E+02   1.53121E-02   2.04730E-08
 2.02500E+00   4.52662E+17   8.79261E+09   1.79920E+02   1.68552E-02   2.07454E-08
 2.07500E+00   4.75659E+17   9.60942E+09   1.95948E+02   1.83457E-02   2.09901E-08
 2.12500E+00   4.96580E+17   1.03855E+10   2.11165E+02   1.97605E-02   2.12099E-08
 2.17500E+00   5.15189E+17   1.11044E+10   2.25344E+02   2.10808E-02   2.14080E-08
 2.22500E+00   5.31293E+17   1.17551E+10   2.38309E+02   2.22932E-02   2.15881E-08
 2.27500E+00   5.44737E+17   1.23373E+10   2.49935E+02   2.33890E-02   2.17542E-08
 2.32500E+00   5.55409E+17   1.28595E+10   2.60143E+02   2.43642E-02   2.19103E-08
 2.37500E+00   5.63243E+17   1.33236E+10   2.68882E+02   2.52186E-02   2.20602E-08
 2.42500E+00   5.68210E+17   1.36983E+10   2.76122E+02   2.59551E-02   2.22078E-08
 2.47500E+00   5.70325E+17   1.39138E+10   2.81864E+02   2.65785E-02   2.23565E-08
 2.52500E+00   5.69641E+17   1.39610E+10   2.86164E+02   2.70954E-02   2.25095E-08
 2.57500E+00   5.66247E+17   1.39951E+10   2.89117E+02   2.75128E-02   2.26696E-08
 2.62500E+00   5.60263E+17   1.40000E+10   2.90798E+02   2.78378E-02   2.28393E-08
 2.67500E+00   5.51838E+17   1.39141E+10   2.91271E+02   2.80771E-02   2.30205E-08
 2.72500E+00   5.41146E+17   1.37489E+10   2.90603E+02   2.82370E-02   2.32151E-08
 2.77500E+00   5.28378E+17   1.35156E+10   2.88861E+02   2.83228E-02   2.34242E-08
 2.82500E+00   5.13743E+17   1.32213E+10   2.86110E+02   2.83390E-02   2.36491E-08
 2.87500E+00   4.97461E+17   1.28721E+10   2.82411E+02   2.82895E-02   2.38904E-08
 2.92500E+00   4.79757E+17   1.24736E+10   2.77824E+02   2.81776E-02   2.41488E-08
