      xx/10.          rhoa          temp           vel      vel*rhoa
         [-]           [-]           [-]           [-]           [-]
 1.02500E+00   2.65571E+00   9.38960E-01   4.48539E-01   1.19119E+00
 1.07500E+00   2.65437E+00   9.39386E-01   4.48550E-01   1.19062E+00
 1.12500E+00   2.65352E+00   9.40041E-01   4.48282E-01   1.18952E+00
 1.17500E+00   2.65251E+00   9.40928E-01   4.47921E-01   1.18811E+00
 1.22500E+00   2.65091E+00   9.42066E-01   4.47579E-01   1.18649E+00
 1.27500E+00   2.64839E+00   9.43479E-01   4.47329E-01   1.18470E+00
 1.32500E+00   2.64473E+00   9.45198E-01   4.47219E-01   1.18277E+00
 1.37500E+00   2.63973E+00   9.47251E-01   4.47283E-01   1.18071E+00
 1.42500E+00   2.63325E+00   9.49663E-01   4.47549E-01   1.17851E+00
 1.47500E+00   2.62518E+00   9.52454E-01   4.48038E-01   1.17618E+00
 1.52500E+00   2.61545E+00   9.55636E-01   4.48767E-01   1.17373E+00
 1.57500E+00   2.60406E+00   9.59207E-01   4.49749E-01   1.17117E+00
 1.62500E+00   2.59101E+00   9.63157E-01   4.50994E-01   1.16853E+00
 1.67500E+00   2.57641E+00   9.67459E-01   4.52505E-01   1.16584E+00
 1.72500E+00   2.56039E+00   9.72073E-01   4.54280E-01   1.16314E+00
 1.77500E+00   2.54316E+00   9.76943E-01   4.56311E-01   1.16047E+00
 1.82500E+00   2.52494E+00   9.82004E-01   4.58582E-01   1.15789E+00
 1.87500E+00   2.50601E+00   9.87181E-01   4.61073E-01   1.15545E+00
 1.92500E+00   2.48668E+00   9.92392E-01   4.63755E-01   1.15321E+00
 1.97500E+00   2.46724E+00   9.97556E-01   4.66594E-01   1.15120E+00
 2.02500E+00   2.44800E+00   1.00259E+00   4.69555E-01   1.14947E+00
 2.07500E+00   2.42923E+00   1.00743E+00   4.72597E-01   1.14805E+00
 2.12500E+00   2.41116E+00   1.01201E+00   4.75683E-01   1.14695E+00
 2.17500E+00   2.39400E+00   1.01629E+00   4.78774E-01   1.14618E+00
 2.22500E+00   2.37789E+00   1.02023E+00   4.81836E-01   1.14575E+00
 2.27500E+00   2.36293E+00   1.02381E+00   4.84840E-01   1.14564E+00
 2.32500E+00   2.34919E+00   1.02703E+00   4.87762E-01   1.14585E+00
 2.37500E+00   2.33667E+00   1.02989E+00   4.90584E-01   1.14633E+00
 2.42500E+00   2.32536E+00   1.03240E+00   4.93295E-01   1.14709E+00
 2.47500E+00   2.31522E+00   1.03460E+00   4.95886E-01   1.14808E+00
 2.52500E+00   2.30618E+00   1.03649E+00   4.98357E-01   1.14930E+00
 2.57500E+00   2.29817E+00   1.03812E+00   5.00709E-01   1.15072E+00
 2.62500E+00   2.29113E+00   1.03950E+00   5.02946E-01   1.15231E+00
 2.67500E+00   2.28495E+00   1.04066E+00   5.05075E-01   1.15407E+00
 2.72500E+00   2.27958E+00   1.04163E+00   5.07105E-01   1.15599E+00
 2.77500E+00   2.27494E+00   1.04243E+00   5.09045E-01   1.15805E+00
 2.82500E+00   2.27096E+00   1.04307E+00   5.10905E-01   1.16024E+00
 2.87500E+00   2.26758E+00   1.04358E+00   5.12695E-01   1.16258E+00
 2.92500E+00   2.26475E+00   1.04397E+00   5.14423E-01   1.16504E+00
 2.97500E+00   2.26244E+00   1.04425E+00   5.16099E-01   1.16764E+00
 3.02500E+00   2.26060E+00   1.04444E+00   5.17731E-01   1.17038E+00
 3.07500E+00   2.25920E+00   1.04453E+00   5.19327E-01   1.17326E+00
 3.12500E+00   2.25821E+00   1.04455E+00   5.20895E-01   1.17629E+00
 3.17500E+00   2.25762E+00   1.04449E+00   5.22440E-01   1.17947E+00
 3.22500E+00   2.25741E+00   1.04436E+00   5.23969E-01   1.18281E+00
 3.27500E+00   2.25755E+00   1.04417E+00   5.25487E-01   1.18631E+00
 3.32500E+00   2.25802E+00   1.04391E+00   5.26997E-01   1.18997E+00
 3.37500E+00   2.25882E+00   1.04359E+00   5.28503E-01   1.19379E+00
 3.42500E+00   2.25992E+00   1.04322E+00   5.30008E-01   1.19778E+00
 3.47500E+00   2.26129E+00   1.04280E+00   5.31513E-01   1.20191E+00
 3.52500E+00   2.26291E+00   1.04233E+00   5.33019E-01   1.20618E+00
 3.57500E+00   2.26474E+00   1.04182E+00   5.34526E-01   1.21056E+00
 3.62500E+00   2.26675E+00   1.04129E+00   5.36033E-01   1.21505E+00
 3.67500E+00   2.26888E+00   1.04073E+00   5.37536E-01   1.21960E+00
 3.72500E+00   2.27109E+00   1.04017E+00   5.39034E-01   1.22419E+00
 3.77500E+00   2.27331E+00   1.03960E+00   5.40523E-01   1.22878E+00
 3.82500E+00   2.27549E+00   1.03905E+00   5.41997E-01   1.23331E+00
 3.87500E+00   2.27755E+00   1.03853E+00   5.43452E-01   1.23774E+00
 3.92500E+00   2.27944E+00   1.03806E+00   5.44882E-01   1.24202E+00
 3.97500E+00   2.28108E+00   1.03764E+00   5.46282E-01   1.24611E+00
 4.02500E+00   2.28241E+00   1.03730E+00   5.47644E-01   1.24995E+00
 4.07500E+00   2.28337E+00   1.03704E+00   5.48964E-01   1.25349E+00
 4.12500E+00   2.28391E+00   1.03688E+00   5.50235E-01   1.25669E+00
 4.17500E+00   2.28399E+00   1.03683E+00   5.51451E-01   1.25951E+00
 4.22500E+00   2.28359E+00   1.03688E+00   5.52608E-01   1.26193E+00
 4.27500E+00   2.28269E+00   1.03705E+00   5.53700E-01   1.26393E+00
 4.32500E+00   2.28129E+00   1.03732E+00   5.54722E-01   1.26548E+00
 4.37500E+00   2.27940E+00   1.03771E+00   5.55671E-01   1.26660E+00
 4.42500E+00   2.27705E+00   1.03819E+00   5.56544E-01   1.26728E+00
 4.47500E+00   2.27427E+00   1.03876E+00   5.57338E-01   1.26754E+00
 4.52500E+00   2.27111E+00   1.03941E+00   5.58050E-01   1.26739E+00
 4.57500E+00   2.26762E+00   1.04011E+00   5.58680E-01   1.26687E+00
 4.62500E+00   2.26387E+00   1.04087E+00   5.59224E-01   1.26601E+00
 4.67500E+00   2.25990E+00   1.04166E+00   5.59684E-01   1.26483E+00
 4.72500E+00   2.25579E+00   1.04246E+00   5.60059E-01   1.26338E+00
 4.77500E+00   2.25159E+00   1.04326E+00   5.60350E-01   1.26168E+00
 4.82500E+00   2.24735E+00   1.04406E+00   5.60559E-01   1.25977E+00
 4.87500E+00   2.24312E+00   1.04483E+00   5.60686E-01   1.25769E+00
 4.92500E+00   2.23895E+00   1.04556E+00   5.60733E-01   1.25546E+00
 4.97500E+00   2.23487E+00   1.04626E+00   5.60705E-01   1.25310E+00
 5.02500E+00   2.23091E+00   1.04691E+00   5.60602E-01   1.25065E+00
 5.07500E+00   2.22708E+00   1.04750E+00   5.60430E-01   1.24812E+00
 5.12500E+00   2.22341E+00   1.04805E+00   5.60191E-01   1.24554E+00
 5.17500E+00   2.21991E+00   1.04854E+00   5.59890E-01   1.24290E+00
 5.22500E+00   2.21656E+00   1.04897E+00   5.59531E-01   1.24024E+00
