      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 1.02500E+00   5.19083E+15   1.03102E+07   7.39930E-02   8.89668E-06   7.43473E-09
 1.07500E+00   6.96462E+15   1.46875E+07   1.22458E-01   1.53729E-05   8.08887E-09
 1.12500E+00   8.18944E+15   1.71756E+07   1.86980E-01   2.48941E-05   8.99943E-09
 1.17500E+00   8.99695E+15   2.31281E+07   2.75457E-01   3.85748E-05   1.00926E-08
 1.22500E+00   9.49616E+15   2.95654E+07   3.94327E-01   5.78553E-05   1.13466E-08
 1.27500E+00   9.78328E+15   3.59041E+07   5.51675E-01   8.45705E-05   1.27501E-08
 1.32500E+00   9.94822E+15   4.22070E+07   7.58350E-01   1.21031E-04   1.42885E-08
 1.37500E+00   1.00784E+16   4.87799E+07   1.02863E+00   1.70108E-04   1.59360E-08
 1.42500E+00   1.02604E+16   5.60816E+07   1.38082E+00   2.35321E-04   1.76509E-08
 1.47500E+00   1.05792E+16   6.47096E+07   1.83779E+00   3.20911E-04   1.93752E-08
 1.52500E+00   1.11167E+16   7.54028E+07   2.42747E+00   4.31911E-04   2.10414E-08
 1.57500E+00   1.19488E+16   8.90484E+07   3.18334E+00   5.74184E-04   2.25862E-08
 1.62500E+00   1.31437E+16   1.06687E+08   4.14469E+00   7.54432E-04   2.39645E-08
 1.67500E+00   1.47606E+16   1.29518E+08   5.35678E+00   9.80160E-04   2.51574E-08
 1.72500E+00   1.68505E+16   1.58905E+08   6.87070E+00   1.25958E-03   2.61701E-08
 1.77500E+00   1.94584E+16   1.96387E+08   8.74300E+00   1.60147E-03   2.70233E-08
 1.82500E+00   2.26256E+16   2.43688E+08   1.10349E+01   2.01490E-03   2.77430E-08
 1.87500E+00   2.63918E+16   3.02721E+08   1.38111E+01   2.50895E-03   2.83537E-08
 1.92500E+00   3.07962E+16   3.75587E+08   1.71381E+01   3.09226E-03   2.88754E-08
 1.97500E+00   3.58774E+16   4.64564E+08   2.10818E+01   3.77260E-03   2.93230E-08
 2.02500E+00   4.16719E+16   5.72068E+08   2.57052E+01   4.55627E-03   2.97069E-08
 2.07500E+00   4.82139E+16   7.00613E+08   3.10647E+01   5.44753E-03   3.00338E-08
 2.12500E+00   5.55336E+16   8.52730E+08   3.72070E+01   6.44801E-03   3.03081E-08
 2.17500E+00   6.36560E+16   1.03089E+09   4.41651E+01   7.55622E-03   3.05321E-08
 2.22500E+00   7.26003E+16   1.23738E+09   5.19549E+01   8.76707E-03   3.07072E-08
 2.27500E+00   8.23783E+16   1.47421E+09   6.05722E+01   1.00717E-02   3.08341E-08
 2.32500E+00   9.29944E+16   1.74300E+09   6.99901E+01   1.14573E-02   3.09132E-08
 2.37500E+00   1.04444E+17   2.04483E+09   8.01579E+01   1.29077E-02   3.09450E-08
 2.42500E+00   1.16712E+17   2.38019E+09   9.10018E+01   1.44037E-02   3.09305E-08
 2.47500E+00   1.29776E+17   2.74892E+09   1.02426E+02   1.59239E-02   3.08712E-08
 2.52500E+00   1.43599E+17   3.15021E+09   1.14318E+02   1.74457E-02   3.07690E-08
 2.57500E+00   1.58136E+17   3.58257E+09   1.26549E+02   1.89467E-02   3.06268E-08
 2.62500E+00   1.73330E+17   4.04398E+09   1.38986E+02   2.04057E-02   3.04482E-08
 2.67500E+00   1.89111E+17   4.53191E+09   1.51492E+02   2.18038E-02   3.02371E-08
 2.72500E+00   2.05398E+17   5.04342E+09   1.63933E+02   2.31248E-02   2.99982E-08
 2.77500E+00   2.22102E+17   5.57527E+09   1.76186E+02   2.43566E-02   2.97365E-08
 2.82500E+00   2.39120E+17   6.12400E+09   1.88139E+02   2.54905E-02   2.94570E-08
 2.87500E+00   2.56342E+17   6.68603E+09   1.99694E+02   2.65217E-02   2.91650E-08
 2.92500E+00   2.73648E+17   7.25771E+09   2.10770E+02   2.74488E-02   2.88655E-08
 2.97500E+00   2.90913E+17   7.83534E+09   2.21302E+02   2.82732E-02   2.85631E-08
