
   time:  888.725 dt:   0.08889 mass:   2.305
      X         N         T         U         P        Q         JM
   0.0250   2.69692   0.93008   0.48777   2.50835   0.08089   1.31548
   0.0750   2.50385   0.90556   0.54115   2.26740   0.05094   1.35497
   0.1250   2.40216   0.89263   0.57135   2.14424   0.03091   1.37248
   0.1750   2.34416   0.88512   0.58919   2.07485   0.01888   1.38114
   0.2250   2.30941   0.88052   0.60006   2.03349   0.01167   1.38579
   0.2750   2.28793   0.87764   0.60685   2.00798   0.00729   1.38844
   0.3250   2.27436   0.87581   0.61117   1.99190   0.00455   1.39002
   0.3750   2.26567   0.87463   0.61394   1.98162   0.00280   1.39099
   0.4250   2.26004   0.87387   0.61575   1.97498   0.00165   1.39162
   0.4750   2.25636   0.87338   0.61693   1.97066   0.00089   1.39201
   0.5250   2.25395   0.87306   0.61770   1.96784   0.00038   1.39227
   0.5750   2.25237   0.87286   0.61821   1.96599   0.00002   1.39244
   0.6250   2.25132   0.87272   0.61855   1.96478   0.00021   1.39255
   0.6750   2.25062   0.87264   0.61877   1.96398   0.00037   1.39262
   0.7250   2.25016   0.87258   0.61892   1.96345   0.00049   1.39267
   0.7750   2.24985   0.87255   0.61902   1.96311   0.00057   1.39270
   0.8250   2.24965   0.87252   0.61909   1.96287   0.00063   1.39273
   0.8750   2.24952   0.87251   0.61913   1.96273   0.00065   1.39274
   0.9250   2.24944   0.87249   0.61916   1.96262   0.00067   1.39275
   0.9750   2.24939   0.87248   0.61917   1.96255   0.00068   1.39275
