
   time:  888.725 dt:   0.08889 mass:   2.286
      X         N         T         U         P        Q         JM
  49.0250   2.34240   0.96656   0.50223   2.26407   0.00704   1.17642
  49.0750   2.33911   0.96795   0.50231   2.26413   0.00782   1.17496
  49.1250   2.33602   0.96930   0.50234   2.26431   0.00836   1.17348
  49.1750   2.33299   0.97066   0.50235   2.26454   0.00881   1.17197
  49.2250   2.32993   0.97204   0.50236   2.26478   0.00927   1.17046
  49.2750   2.32676   0.97346   0.50239   2.26501   0.00980   1.16894
  49.3250   2.32344   0.97493   0.50245   2.26520   0.01044   1.16742
  49.3750   2.31989   0.97649   0.50257   2.26535   0.01126   1.16590
  49.4250   2.31603   0.97815   0.50275   2.26542   0.01236   1.16438
  49.4750   2.31174   0.97996   0.50303   2.26540   0.01383   1.16286
  49.5250   2.30686   0.98196   0.50344   2.26525   0.01583   1.16136
  49.5750   2.30116   0.98425   0.50404   2.26491   0.01855   1.15987
  49.6250   2.29432   0.98692   0.50490   2.26430   0.02233   1.15841
  49.6750   2.28589   0.99011   0.50614   2.26330   0.02753   1.15697
  49.7250   2.27517   0.99406   0.50789   2.26165   0.03482   1.15555
  49.7750   2.26106   0.99905   0.51041   2.25891   0.04512   1.15407
  49.8250   2.24164   1.00552   0.51407   2.25401   0.05992   1.15236
  49.8750   2.21321   1.01407   0.51953   2.24435   0.08174   1.14982
  49.9250   2.16785   1.02541   0.52811   2.22295   0.11541   1.14486
  49.9750   2.08766   1.03954   0.54297   2.17020   0.17101   1.13353
