
   time: 2666.069 dt:   0.08889 mass:   2.577
      X         N         T         U         P        Q         JM
   0.0250   2.86558   0.95416   0.41994   2.73421   0.05501   1.20338
   0.0750   2.70812   0.93626   0.45702   2.53550   0.03018   1.23766
   0.1250   2.63161   0.92782   0.47573   2.44166   0.01555   1.25193
   0.1750   2.59184   0.92341   0.48555   2.39333   0.00791   1.25847
   0.2250   2.57028   0.92097   0.49088   2.36715   0.00398   1.26169
   0.2750   2.55826   0.91959   0.49384   2.35254   0.00193   1.26337
   0.3250   2.55141   0.91879   0.49553   2.34422   0.00081   1.26430
   0.3750   2.54747   0.91833   0.49650   2.33942   0.00018   1.26481
   0.4250   2.54516   0.91807   0.49707   2.33663   0.00019   1.26511
   0.4750   2.54379   0.91792   0.49740   2.33500   0.00042   1.26529
   0.5250   2.54299   0.91783   0.49760   2.33404   0.00056   1.26539
   0.5750   2.54250   0.91779   0.49772   2.33347   0.00066   1.26545
   0.6250   2.54221   0.91776   0.49779   2.33314   0.00072   1.26548
   0.6750   2.54203   0.91775   0.49783   2.33295   0.00077   1.26550
   0.7250   2.54193   0.91774   0.49785   2.33284   0.00080   1.26551
   0.7750   2.54187   0.91774   0.49787   2.33277   0.00081   1.26551
   0.8250   2.54185   0.91773   0.49787   2.33274   0.00081   1.26551
   0.8750   2.54184   0.91773   0.49787   2.33272   0.00081   1.26551
   0.9250   2.54185   0.91772   0.49787   2.33271   0.00079   1.26551
   0.9750   2.54187   0.91771   0.49786   2.33270   0.00078   1.26550
