
   time:  533.257 dt:   0.08889 mass:   2.306
      X         N         T         U         P        Q         JM
   0.0250   2.69703   0.93010   0.48772   2.50850   0.08088   1.31541
   0.0750   2.50399   0.90558   0.54109   2.26758   0.05092   1.35489
   0.1250   2.40232   0.89266   0.57129   2.14444   0.03090   1.37241
   0.1750   2.34433   0.88514   0.58911   2.07507   0.01887   1.38106
   0.2250   2.30959   0.88055   0.59998   2.03372   0.01167   1.38571
   0.2750   2.28812   0.87767   0.60677   2.00822   0.00729   1.38835
   0.3250   2.27456   0.87584   0.61108   1.99215   0.00455   1.38994
   0.3750   2.26588   0.87466   0.61385   1.98187   0.00281   1.39091
   0.4250   2.26024   0.87390   0.61566   1.97523   0.00165   1.39154
   0.4750   2.25657   0.87341   0.61684   1.97092   0.00089   1.39193
   0.5250   2.25416   0.87310   0.61761   1.96810   0.00038   1.39220
   0.5750   2.25258   0.87289   0.61812   1.96625   0.00002   1.39237
   0.6250   2.25153   0.87276   0.61846   1.96504   0.00021   1.39248
   0.6750   2.25083   0.87267   0.61868   1.96424   0.00037   1.39255
   0.7250   2.25037   0.87261   0.61883   1.96371   0.00049   1.39260
   0.7750   2.25006   0.87258   0.61893   1.96336   0.00057   1.39263
   0.8250   2.24986   0.87256   0.61900   1.96313   0.00062   1.39266
   0.8750   2.24972   0.87254   0.61904   1.96297   0.00065   1.39267
   0.9250   2.24964   0.87253   0.61907   1.96287   0.00067   1.39268
   0.9750   2.24959   0.87251   0.61908   1.96279   0.00067   1.39268
