
   time:   44.356 dt:   0.08889 mass:   2.296
      X         N         T         U         P        Q         JM
   0.0250   2.68924   0.92909   0.49087   2.49853   0.08173   1.32005
   0.0750   2.49448   0.90435   0.54498   2.25588   0.05140   1.35944
   0.1250   2.39165   0.89132   0.57563   2.13173   0.03100   1.37670
   0.1750   2.33291   0.88381   0.59368   2.06185   0.01861   1.38501
   0.2250   2.29776   0.87929   0.60461   2.02039   0.01114   1.38923
   0.2750   2.27614   0.87652   0.61131   1.99508   0.00655   1.39142
   0.3250   2.26265   0.87484   0.61544   1.97945   0.00368   1.39252
   0.3750   2.25420   0.87383   0.61796   1.96979   0.00184   1.39300
   0.4250   2.24892   0.87326   0.61946   1.96389   0.00065   1.39311
   0.4750   2.24568   0.87296   0.62031   1.96039   0.00014   1.39302
   0.5250   2.24376   0.87284   0.62074   1.95844   0.00066   1.39280
   0.5750   2.24268   0.87283   0.62091   1.95748   0.00101   1.39251
   0.6250   2.24214   0.87289   0.62092   1.95714   0.00123   1.39218
   0.6750   2.24194   0.87299   0.62081   1.95720   0.00137   1.39183
   0.7250   2.24195   0.87312   0.62066   1.95749   0.00147   1.39147
   0.7750   2.24206   0.87327   0.62047   1.95792   0.00154   1.39112
   0.8250   2.24222   0.87344   0.62027   1.95843   0.00160   1.39077
   0.8750   2.24239   0.87361   0.62007   1.95897   0.00164   1.39043
   0.9250   2.24254   0.87380   0.61988   1.95952   0.00167   1.39009
   0.9750   2.24266   0.87401   0.61970   1.96010   0.00172   1.38978
