
   time:  444.366 dt:   0.08889 mass:   1.797
      X         N         T         U         P        Q         JM
  49.0250   1.79992   1.20766   0.52507   2.17369   0.00702   0.94508
  49.0750   1.80001   1.20768   0.52503   2.17383   0.00698   0.94505
  49.1250   1.80005   1.20769   0.52500   2.17390   0.00695   0.94503
  49.1750   1.80009   1.20769   0.52498   2.17395   0.00693   0.94501
  49.2250   1.80011   1.20769   0.52497   2.17397   0.00691   0.94500
  49.2750   1.80012   1.20769   0.52496   2.17399   0.00689   0.94499
  49.3250   1.80014   1.20768   0.52495   2.17400   0.00687   0.94498
  49.3750   1.80016   1.20768   0.52493   2.17400   0.00685   0.94497
  49.4250   1.80017   1.20767   0.52492   2.17401   0.00683   0.94495
  49.4750   1.80020   1.20765   0.52491   2.17401   0.00679   0.94495
  49.5250   1.80022   1.20763   0.52490   2.17399   0.00676   0.94494
  49.5750   1.80024   1.20759   0.52489   2.17395   0.00672   0.94493
  49.6250   1.80026   1.20753   0.52489   2.17387   0.00668   0.94493
  49.6750   1.80024   1.20742   0.52489   2.17365   0.00665   0.94493
  49.7250   1.80014   1.20721   0.52491   2.17315   0.00661   0.94490
  49.7750   1.79977   1.20679   0.52496   2.17195   0.00660   0.94481
  49.8250   1.79866   1.20592   0.52511   2.16905   0.00668   0.94449
  49.8750   1.79553   1.20405   0.52548   2.16191   0.00704   0.94351
  49.9250   1.78684   1.19970   0.52644   2.14367   0.00829   0.94067
  49.9750   1.76331   1.18818   0.52912   2.09513   0.01192   0.93301
